TaskID,目标区域,开工小时,等待_h,时延_ms
150,RegionF,2372,0.0,5.0
151,RegionC,2220,0.0,5.0
152,RegionA,1284,0.0,5.0
153,RegionB,205,0.0,5.0
154,RegionE,1952,0.0,5.0
155,RegionF,2175,0.0,5.0
156,RegionD,232,0.0,5.0
157,RegionB,328,0.0,5.0
158,RegionA,280,0.0,5.0
159,RegionD,278,0.0,5.0
160,RegionE,963,0.0,5.0
161,RegionD,491,0.0,5.0
162,RegionF,1008,0.0,5.0
163,RegionF,162,0.0,5.0
164,RegionC,335,0.0,5.0
165,RegionB,2390,0.0,5.0
166,RegionD,2141,0.0,5.0
167,RegionD,1068,0.0,5.0
168,RegionC,1286,0.0,5.0
169,RegionC,1087,0.0,5.0
170,RegionA,536,0.0,5.0
171,RegionD,1228,0.0,5.0
172,RegionB,1295,0.0,5.0
173,RegionB,38,0.0,5.0
174,RegionD,2306,0.0,5.0
175,RegionC,300,0.0,5.0
176,RegionF,873,0.0,5.0
177,RegionC,1086,0.0,5.0
178,RegionA,1429,0.0,5.0
179,RegionB,1000,0.0,5.0
180,RegionD,1167,0.0,5.0
181,RegionC,1794,0.0,5.0
182,RegionF,1239,0.0,5.0
183,RegionA,2166,0.0,5.0
184,RegionA,2271,0.0,5.0
185,RegionB,424,0.0,5.0
186,RegionB,1083,0.0,5.0
187,RegionB,438,0.0,5.0
188,RegionF,2266,0.0,5.0
189,RegionE,1115,0.0,5.0
190,RegionA,862,0.0,5.0
191,RegionD,1404,0.0,5.0
192,RegionB,1081,0.0,5.0
193,RegionE,2001,0.0,5.0
194,RegionD,208,0.0,5.0
195,RegionC,1734,0.0,5.0
196,RegionA,180,0.0,5.0
197,RegionA,1366,0.0,5.0
198,RegionA,1072,0.0,5.0
199,RegionB,1809,0.0,5.0
200,RegionE,1751,0.0,5.0
201,RegionF,39,0.0,5.0
202,RegionD,308,0.0,5.0
203,RegionB,610,0.0,5.0
204,RegionD,147,0.0,5.0
205,RegionB,2385,0.0,5.0
206,RegionE,606,0.0,5.0
207,RegionD,522,0.0,5.0
208,RegionC,1262,0.0,5.0
209,RegionF,163,0.0,5.0
210,RegionA,860,0.0,5.0
211,RegionD,1022,0.0,5.0
212,RegionD,421,0.0,5.0
213,RegionD,2293,0.0,5.0
214,RegionD,633,0.0,5.0
215,RegionD,665,0.0,5.0
216,RegionA,1688,0.0,5.0
217,RegionA,734,0.0,5.0
218,RegionD,1360,0.0,5.0
219,RegionC,1016,0.0,5.0
220,RegionD,652,0.0,5.0
221,RegionF,442,0.0,5.0
222,RegionF,158,0.0,5.0
223,RegionA,911,0.0,5.0
224,RegionA,1885,0.0,5.0
225,RegionC,1250,0.0,5.0
226,RegionB,913,0.0,5.0
227,RegionC,791,0.0,5.0
228,RegionF,1344,0.0,5.0
229,RegionA,284,0.0,5.0
230,RegionA,1438,0.0,5.0
231,RegionD,2086,0.0,5.0
232,RegionC,2196,0.0,5.0
233,RegionD,113,0.0,5.0
234,RegionC,1069,0.0,5.0
235,RegionE,2378,0.0,5.0
236,RegionA,156,0.0,5.0
237,RegionA,1779,0.0,5.0
238,RegionC,1284,0.0,5.0
239,RegionD,2094,0.0,5.0
240,RegionC,1577,0.0,5.0
241,RegionF,778,0.0,5.0
242,RegionA,181,0.0,5.0
243,RegionD,1786,0.0,5.0
244,RegionA,2129,0.0,5.0
245,RegionD,807,0.0,5.0
246,RegionD,1766,0.0,5.0
247,RegionC,1352,0.0,5.0
248,RegionF,1285,0.0,5.0
249,RegionB,510,0.0,5.0
250,RegionD,1230,0.0,5.0
251,RegionD,1266,0.0,5.0
252,RegionE,1672,0.0,5.0
253,RegionD,1648,0.0,5.0
254,RegionF,1211,0.0,5.0
255,RegionF,521,0.0,5.0
256,RegionA,1722,0.0,5.0
257,RegionD,1552,0.0,5.0
258,RegionD,712,0.0,5.0
259,RegionE,2331,0.0,5.0
260,RegionE,1663,0.0,5.0
261,RegionF,1,0.0,5.0
262,RegionA,1175,0.0,5.0
263,RegionA,1760,0.0,5.0
264,RegionD,1319,0.0,5.0
265,RegionC,1809,0.0,5.0
266,RegionD,875,0.0,5.0
267,RegionF,1938,0.0,5.0
268,RegionF,695,0.0,5.0
269,RegionC,347,0.0,5.0
270,RegionB,2111,0.0,5.0
271,RegionD,1372,0.0,5.0
272,RegionB,962,0.0,5.0
273,RegionE,1271,0.0,5.0
274,RegionC,815,0.0,5.0
275,RegionA,100,0.0,5.0
276,RegionA,1002,0.0,5.0
277,RegionB,298,0.0,5.0
278,RegionC,1697,0.0,5.0
279,RegionE,2357,0.0,5.0
280,RegionC,1572,0.0,5.0
281,RegionF,1636,0.0,5.0
282,RegionA,604,0.0,5.0
283,RegionD,22,0.0,5.0
284,RegionB,1741,0.0,5.0
285,RegionB,720,0.0,5.0
286,RegionE,2121,0.0,5.0
287,RegionE,205,0.0,5.0
288,RegionA,1020,0.0,5.0
289,RegionA,1869,0.0,5.0
290,RegionA,1903,0.0,5.0
291,RegionD,2175,0.0,5.0
292,RegionE,1299,0.0,5.0
293,RegionE,2067,0.0,5.0
294,RegionF,2244,0.0,5.0
295,RegionA,651,0.0,5.0
296,RegionD,1944,0.0,5.0
297,RegionC,1061,0.0,5.0
298,RegionB,1135,0.0,5.0
299,RegionE,1984,0.0,5.0
300,RegionF,979,0.0,5.0
301,RegionA,1801,0.0,5.0
302,RegionA,1170,0.0,5.0
303,RegionA,1112,0.0,5.0
304,RegionC,1309,0.0,5.0
305,RegionE,330,0.0,5.0
306,RegionC,617,0.0,5.0
307,RegionD,1568,0.0,5.0
308,RegionB,625,0.0,5.0
309,RegionD,876,0.0,5.0
310,RegionB,1699,0.0,5.0
311,RegionC,1355,0.0,5.0
312,RegionE,1908,0.0,5.0
313,RegionE,255,0.0,5.0
314,RegionF,1720,0.0,5.0
315,RegionA,2392,0.0,5.0
316,RegionD,80,0.0,5.0
317,RegionD,1558,0.0,5.0
318,RegionD,24,0.0,5.0
319,RegionE,1223,0.0,5.0
320,RegionF,1716,0.0,5.0
321,RegionB,2236,0.0,5.0
322,RegionD,903,0.0,5.0
323,RegionB,898,0.0,5.0
324,RegionC,1785,0.0,5.0
325,RegionD,118,0.0,5.0
326,RegionE,1376,0.0,5.0
327,RegionF,1656,0.0,5.0
328,RegionC,676,0.0,5.0
329,RegionB,522,0.0,5.0
330,RegionD,2187,0.0,5.0
331,RegionB,1613,0.0,5.0
332,RegionE,2311,0.0,5.0
333,RegionF,111,0.0,5.0
334,RegionA,1755,0.0,5.0
335,RegionA,1891,0.0,5.0
336,RegionA,205,0.0,5.0
337,RegionC,1552,0.0,5.0
338,RegionD,866,0.0,5.0
339,RegionE,1338,0.0,5.0
340,RegionF,1552,0.0,5.0
341,RegionA,1726,0.0,5.0
342,RegionB,335,0.0,5.0
343,RegionC,79,0.0,5.0
344,RegionE,2209,0.0,5.0
345,RegionC,1433,0.0,5.0
346,RegionC,281,0.0,5.0
347,RegionA,164,0.0,5.0
348,RegionA,1012,0.0,5.0
349,RegionA,83,0.0,5.0
350,RegionD,624,0.0,5.0
351,RegionB,517,0.0,5.0
352,RegionE,468,0.0,5.0
353,RegionF,892,0.0,5.0
354,RegionA,1049,0.0,5.0
355,RegionB,687,0.0,5.0
356,RegionD,469,0.0,5.0
357,RegionB,1274,0.0,5.0
358,RegionC,2370,0.0,5.0
359,RegionC,1277,0.0,5.0
360,RegionA,1537,0.0,5.0
361,RegionA,812,0.0,5.0
362,RegionA,994,0.0,5.0
363,RegionB,1235,0.0,5.0
364,RegionE,495,0.0,5.0
365,RegionF,168,0.0,5.0
366,RegionF,2182,0.0,5.0
367,RegionA,1517,0.0,5.0
368,RegionA,2072,0.0,5.0
369,RegionD,1397,0.0,5.0
370,RegionB,1720,0.0,5.0
371,RegionD,432,0.0,5.0
372,RegionE,1483,0.0,5.0
373,RegionF,1883,0.0,5.0
374,RegionC,626,0.0,5.0
375,RegionB,721,0.0,5.0
376,RegionD,2137,0.0,5.0
377,RegionE,1106,0.0,5.0
378,RegionE,2204,0.0,5.0
379,RegionF,1904,0.0,5.0
380,RegionA,1099,0.0,5.0
381,RegionB,1005,0.0,5.0
382,RegionB,1142,0.0,5.0
383,RegionC,998,0.0,5.0
384,RegionD,2334,0.0,5.0
385,RegionF,1552,0.0,5.0
386,RegionF,117,0.0,5.0
387,RegionA,1331,0.0,5.0
388,RegionA,1997,0.0,5.0
389,RegionB,1453,0.0,5.0
390,RegionD,1394,0.0,5.0
391,RegionD,1131,0.0,5.0
392,RegionF,41,0.0,5.0
393,RegionA,782,0.0,5.0
394,RegionA,988,0.0,5.0
395,RegionD,1664,0.0,5.0
396,RegionC,2274,0.0,5.0
397,RegionB,1950,0.0,5.0
398,RegionF,2010,0.0,5.0
399,RegionF,70,0.0,5.0
400,RegionA,1205,0.0,5.0
401,RegionA,1656,0.0,5.0
402,RegionD,996,0.0,5.0
403,RegionD,2382,0.0,5.0
404,RegionD,1938,0.0,5.0
405,RegionF,2174,0.0,5.0
406,RegionA,1742,0.0,5.0
407,RegionD,2254,0.0,5.0
408,RegionB,1441,0.0,5.0
409,RegionD,1858,0.0,5.0
410,RegionD,1255,0.0,5.0
411,RegionE,944,0.0,5.0
412,RegionE,788,0.0,5.0
413,RegionA,489,0.0,5.0
414,RegionD,2194,0.0,5.0
415,RegionD,758,0.0,5.0
416,RegionB,886,0.0,5.0
417,RegionE,1983,0.0,5.0
418,RegionE,2148,0.0,5.0
419,RegionA,1159,0.0,5.0
420,RegionA,795,0.0,5.0
421,RegionB,931,0.0,5.0
422,RegionC,734,0.0,5.0
423,RegionD,57,0.0,5.0
424,RegionF,2187,0.0,5.0
425,RegionD,1123,0.0,5.0
426,RegionA,223,0.0,5.0
427,RegionD,1196,0.0,5.0
428,RegionD,517,0.0,5.0
429,RegionE,2010,0.0,5.0
430,RegionC,50,0.0,5.0
431,RegionF,1164,0.0,5.0
432,RegionF,1960,0.0,5.0
433,RegionA,1395,0.0,5.0
434,RegionA,210,0.0,5.0
435,RegionC,1956,0.0,5.0
436,RegionB,267,0.0,5.0
437,RegionD,2014,0.0,5.0
438,RegionC,2363,0.0,5.0
439,RegionA,219,0.0,5.0
440,RegionA,611,0.0,5.0
441,RegionD,1244,0.0,5.0
442,RegionB,1016,0.0,5.0
443,RegionC,2285,0.0,5.0
444,RegionE,924,0.0,5.0
445,RegionF,1558,0.0,5.0
446,RegionA,1813,0.0,5.0
447,RegionB,1756,0.0,5.0
448,RegionC,2329,0.0,5.0
449,RegionE,246,0.0,5.0
450,RegionE,406,0.0,5.0
451,RegionC,864,0.0,5.0
452,RegionA,332,0.0,5.0
453,RegionA,982,0.0,5.0
454,RegionA,2260,0.0,5.0
455,RegionB,641,0.0,5.0
456,RegionB,1673,0.0,5.0
457,RegionE,1924,0.0,5.0
458,RegionF,133,0.0,5.0
459,RegionA,1180,0.0,5.0
460,RegionD,1158,0.0,5.0
461,RegionD,1859,0.0,5.0
462,RegionB,956,0.0,5.0
463,RegionD,810,0.0,5.0
464,RegionE,470,0.0,5.0
465,RegionA,920,0.0,5.0
466,RegionD,610,0.0,5.0
467,RegionB,582,0.0,5.0
468,RegionB,244,0.0,5.0
469,RegionB,1259,0.0,5.0
470,RegionF,2331,0.0,5.0
471,RegionF,1798,0.0,5.0
472,RegionA,1919,0.0,5.0
473,RegionD,1245,0.0,5.0
474,RegionD,1648,0.0,5.0
475,RegionC,2049,0.0,5.0
476,RegionE,2022,0.0,5.0
477,RegionE,329,0.0,5.0
478,RegionF,163,0.0,5.0
479,RegionA,1320,0.0,5.0
480,RegionD,1025,0.0,5.0
481,RegionB,374,0.0,5.0
482,RegionB,2356,0.0,5.0
483,RegionF,84,0.0,5.0
484,RegionF,1103,0.0,5.0
485,RegionB,164,0.0,5.0
486,RegionA,1927,0.0,5.0
487,RegionD,1811,0.0,5.0
488,RegionC,743,0.0,5.0
489,RegionE,1785,0.0,5.0
490,RegionF,2014,0.0,5.0
491,RegionF,1925,0.0,5.0
492,RegionA,1672,0.0,5.0
493,RegionB,1315,0.0,5.0
494,RegionD,428,0.0,5.0
495,RegionB,1350,0.0,5.0
496,RegionD,2029,0.0,5.0
497,RegionF,1640,0.0,5.0
498,RegionA,150,0.0,5.0
499,RegionA,360,0.0,5.0
500,RegionB,1033,0.0,5.0
501,RegionC,474,0.0,5.0
502,RegionD,2107,0.0,5.0
503,RegionC,2222,0.0,5.0
504,RegionF,1692,0.0,5.0
505,RegionA,768,0.0,5.0
506,RegionD,1481,0.0,5.0
507,RegionD,2041,0.0,5.0
508,RegionE,1810,0.0,5.0
509,RegionC,833,0.0,5.0
510,RegionE,2249,0.0,5.0
511,RegionA,1179,0.0,5.0
512,RegionA,1985,0.0,5.0
513,RegionA,118,0.0,5.0
514,RegionD,980,0.0,5.0
515,RegionE,648,0.0,5.0
516,RegionE,2256,0.0,5.0
517,RegionE,2262,0.0,5.0
518,RegionA,381,0.0,5.0
519,RegionA,464,0.0,5.0
520,RegionB,481,0.0,5.0
521,RegionE,630,0.0,5.0
522,RegionD,1195,0.0,5.0
523,RegionF,1119,0.0,5.0
524,RegionA,1976,0.0,5.0
525,RegionA,998,0.0,5.0
526,RegionB,2257,0.0,5.0
527,RegionB,1571,0.0,5.0
528,RegionB,2081,0.0,5.0
529,RegionF,559,0.0,5.0
530,RegionD,1131,0.0,5.0
531,RegionA,1392,0.0,5.0
532,RegionD,1094,0.0,5.0
533,RegionB,1158,0.0,5.0
534,RegionE,1222,0.0,5.0
535,RegionE,2375,0.0,5.0
536,RegionF,2005,0.0,5.0
537,RegionF,1829,0.0,5.0
538,RegionC,1983,0.0,5.0
539,RegionB,1361,0.0,5.0
540,RegionD,2225,0.0,5.0
541,RegionD,1865,0.0,5.0
542,RegionE,772,0.0,5.0
543,RegionF,978,0.0,5.0
544,RegionB,1568,0.0,5.0
545,RegionA,1682,0.0,5.0
546,RegionB,1303,0.0,5.0
547,RegionE,1937,0.0,5.0
548,RegionE,1561,0.0,5.0
549,RegionE,623,0.0,5.0
550,RegionF,151,0.0,5.0
551,RegionA,2057,0.0,5.0
552,RegionD,1359,0.0,5.0
553,RegionB,1803,0.0,5.0
554,RegionB,2154,0.0,5.0
555,RegionD,62,0.0,5.0
556,RegionF,590,0.0,5.0
557,RegionA,632,0.0,5.0
558,RegionA,1923,0.0,5.0
559,RegionB,1386,0.0,5.0
560,RegionD,1628,0.0,5.0
561,RegionE,328,0.0,5.0
562,RegionE,2185,0.0,5.0
563,RegionF,1297,0.0,5.0
564,RegionC,1998,0.0,5.0
565,RegionD,147,0.0,5.0
566,RegionD,280,0.0,5.0
567,RegionB,1177,0.0,5.0
568,RegionC,370,0.0,5.0
569,RegionE,403,0.0,5.0
570,RegionA,411,0.0,5.0
571,RegionA,681,0.0,5.0
572,RegionD,1226,0.0,5.0
573,RegionB,188,0.0,5.0
574,RegionD,229,0.0,5.0
575,RegionE,1468,0.0,5.0
576,RegionF,1764,0.0,5.0
577,RegionA,1000,0.0,5.0
578,RegionD,1687,0.0,5.0
579,RegionD,737,0.0,5.0
580,RegionB,717,0.0,5.0
581,RegionC,1566,0.0,5.0
582,RegionF,986,0.0,5.0
583,RegionA,2388,0.0,5.0
584,RegionA,951,0.0,5.0
585,RegionB,1040,0.0,5.0
586,RegionC,1045,0.0,5.0
587,RegionE,38,0.0,5.0
588,RegionE,1178,0.0,5.0
589,RegionF,2238,0.0,5.0
590,RegionA,302,0.0,5.0
591,RegionB,1415,0.0,5.0
592,RegionD,1225,0.0,5.0
593,RegionE,1737,0.0,5.0
594,RegionE,1024,0.0,5.0
595,RegionE,1237,0.0,5.0
596,RegionF,1575,0.0,5.0
597,RegionA,436,0.0,5.0
598,RegionA,1562,0.0,5.0
599,RegionD,1470,0.0,5.0
600,RegionE,1211,0.0,5.0
601,RegionE,1209,0.0,5.0
602,RegionC,1621,0.0,5.0
603,RegionA,33,0.0,5.0
604,RegionD,200,0.0,5.0
605,RegionD,2034,0.0,5.0
606,RegionC,942,0.0,5.0
607,RegionE,1443,0.0,5.0
608,RegionC,778,0.0,5.0
609,RegionF,1026,0.0,5.0
610,RegionC,560,0.0,5.0
611,RegionD,397,0.0,5.0
612,RegionD,161,0.0,5.0
613,RegionD,1805,0.0,5.0
614,RegionC,2373,0.0,5.0
615,RegionF,538,0.0,5.0
616,RegionA,1208,0.0,5.0
617,RegionA,1701,0.0,5.0
618,RegionA,822,0.0,5.0
619,RegionB,2209,0.0,5.0
620,RegionD,2174,0.0,5.0
621,RegionF,1116,0.0,5.0
622,RegionE,1052,0.0,5.0
623,RegionA,1208,0.0,5.0
624,RegionD,1387,0.0,5.0
625,RegionB,1918,0.0,5.0
626,RegionB,576,0.0,5.0
627,RegionC,1627,0.0,5.0
628,RegionF,1498,0.0,5.0
629,RegionA,1616,0.0,5.0
630,RegionA,1083,0.0,5.0
631,RegionD,506,0.0,5.0
632,RegionC,1509,0.0,5.0
633,RegionE,1073,0.0,5.0
634,RegionF,1560,0.0,5.0
635,RegionF,1521,0.0,5.0
636,RegionA,957,0.0,5.0
637,RegionB,102,0.0,5.0
638,RegionD,2299,0.0,5.0
639,RegionC,906,0.0,5.0
640,RegionE,258,0.0,5.0
641,RegionF,1901,0.0,5.0
642,RegionF,1237,0.0,5.0
643,RegionC,1672,0.0,5.0
644,RegionA,572,0.0,5.0
645,RegionB,152,0.0,5.0
646,RegionD,2017,0.0,5.0
647,RegionC,398,0.0,5.0
648,RegionD,2201,0.0,5.0
649,RegionA,1591,0.0,5.0
650,RegionB,1519,0.0,5.0
651,RegionD,2212,0.0,5.0
652,RegionC,632,0.0,5.0
653,RegionD,405,0.0,5.0
654,RegionE,1671,0.0,5.0
655,RegionF,134,0.0,5.0
656,RegionC,1517,0.0,5.0
657,RegionA,1816,0.0,5.0
658,RegionC,967,0.0,5.0
659,RegionD,406,0.0,5.0
660,RegionE,1504,0.0,5.0
661,RegionF,1469,0.0,5.0
662,RegionA,1630,0.0,5.0
663,RegionA,777,0.0,5.0
664,RegionB,1862,0.0,5.0
665,RegionB,868,0.0,5.0
666,RegionE,87,0.0,5.0
667,RegionC,1366,0.0,5.0
668,RegionE,515,0.0,5.0
669,RegionC,840,0.0,5.0
670,RegionA,2270,0.0,5.0
671,RegionB,884,0.0,5.0
672,RegionB,1345,0.0,5.0
673,RegionC,11,0.0,5.0
674,RegionE,592,0.0,5.0
675,RegionA,2212,0.0,5.0
676,RegionA,714,0.0,5.0
677,RegionA,105,0.0,5.0
678,RegionB,60,0.0,5.0
679,RegionD,974,0.0,5.0
680,RegionF,1326,0.0,5.0
681,RegionE,713,0.0,5.0
682,RegionA,214,0.0,5.0
683,RegionA,1724,0.0,5.0
684,RegionD,465,0.0,5.0
685,RegionE,260,0.0,5.0
686,RegionD,1836,0.0,5.0
687,RegionE,2102,0.0,5.0
688,RegionA,446,0.0,5.0
689,RegionA,2063,0.0,5.0
690,RegionA,177,0.0,5.0
691,RegionD,2135,0.0,5.0
692,RegionD,1876,0.0,5.0
693,RegionF,127,0.0,5.0
694,RegionD,1961,0.0,5.0
695,RegionA,1746,0.0,5.0
696,RegionD,442,0.0,5.0
697,RegionB,1816,0.0,5.0
698,RegionB,330,0.0,5.0
699,RegionD,607,0.0,5.0
700,RegionC,516,0.0,5.0
701,RegionF,2397,0.0,5.0
702,RegionC,1331,0.0,5.0
703,RegionB,2173,0.0,5.0
704,RegionC,1858,0.0,5.0
705,RegionE,1762,0.0,5.0
706,RegionC,468,0.0,5.0
707,RegionF,2258,0.0,5.0
708,RegionB,880,0.0,5.0
709,RegionB,1849,0.0,5.0
710,RegionB,1694,0.0,5.0
711,RegionC,1857,0.0,5.0
712,RegionD,1703,0.0,5.0
713,RegionE,389,0.0,18.0
714,RegionF,1748,0.0,5.0
715,RegionA,1044,0.0,5.0
716,RegionB,625,0.0,5.0
717,RegionD,1942,0.0,5.0
718,RegionB,373,0.0,5.0
719,RegionC,381,0.0,5.0
720,RegionF,395,0.0,5.0
721,RegionA,1526,0.0,5.0
722,RegionA,2278,0.0,5.0
723,RegionA,2300,0.0,5.0
724,RegionD,1350,0.0,5.0
725,RegionE,500,0.0,5.0
726,RegionE,1448,0.0,5.0
727,RegionF,1732,0.0,5.0
728,RegionC,210,0.0,5.0
729,RegionB,1279,0.0,5.0
730,RegionC,424,0.0,5.0
731,RegionE,2078,0.0,5.0
732,RegionC,633,0.0,5.0
733,RegionF,1975,0.0,5.0
734,RegionA,443,0.0,5.0
735,RegionA,2278,0.0,5.0
736,RegionB,470,0.0,5.0
737,RegionC,2351,0.0,5.0
738,RegionB,1757,0.0,5.0
739,RegionF,2280,0.0,5.0
740,RegionE,1095,0.0,5.0
741,RegionA,738,0.0,5.0
742,RegionB,1265,0.0,5.0
743,RegionB,1437,0.0,5.0
744,RegionB,743,0.0,5.0
745,RegionC,2319,0.0,5.0
746,RegionF,1641,0.0,5.0
747,RegionA,581,0.0,5.0
748,RegionD,125,0.0,5.0
749,RegionA,2172,0.0,5.0
750,RegionB,1540,0.0,5.0
751,RegionD,1858,0.0,5.0
752,RegionE,644,0.0,5.0
753,RegionF,1276,0.0,5.0
754,RegionB,1328,0.0,5.0
755,RegionD,347,0.0,5.0
756,RegionB,637,0.0,5.0
757,RegionB,203,0.0,5.0
758,RegionE,334,0.0,5.0
759,RegionE,1814,0.0,5.0
760,RegionF,1736,0.0,5.0
761,RegionA,1810,0.0,5.0
762,RegionB,1118,0.0,5.0
763,RegionB,2098,0.0,5.0
764,RegionB,1413,0.0,5.0
765,RegionD,454,0.0,5.0
766,RegionF,1993,0.0,5.0
767,RegionB,1263,0.0,5.0
768,RegionA,903,0.0,5.0
769,RegionB,224,0.0,5.0
770,RegionB,837,0.0,5.0
771,RegionD,865,0.0,5.0
772,RegionC,1046,0.0,5.0
773,RegionF,1343,0.0,5.0
774,RegionA,31,0.0,5.0
775,RegionB,1763,0.0,5.0
776,RegionB,529,0.0,5.0
777,RegionD,2181,0.0,5.0
778,RegionE,942,0.0,5.0
779,RegionF,2288,0.0,5.0
780,RegionA,1450,0.0,5.0
781,RegionA,1626,0.0,5.0
782,RegionD,173,0.0,5.0
783,RegionC,76,0.0,5.0
784,RegionD,318,0.0,5.0
785,RegionE,2358,0.0,5.0
786,RegionF,2348,0.0,5.0
787,RegionA,1710,0.0,5.0
788,RegionB,471,0.0,5.0
789,RegionC,85,0.0,5.0
790,RegionD,703,0.0,5.0
791,RegionE,1884,0.0,5.0
792,RegionF,1482,0.0,5.0
