Hour,TaskCount,TotalGPU,TotalGPUHour,Count_RegionA_RealTimeInference,GPU_RegionA_RealTimeInference,GPUHour_RegionA_RealTimeInference,Count_RegionA_BatchInference,GPU_RegionA_BatchInference,GPUHour_RegionA_BatchInference,Count_RegionA_AITraining,GPU_RegionA_AITraining,GPUHour_RegionA_AITraining,Count_RegionB_RealTimeInference,GPU_RegionB_RealTimeInference,GPUHour_RegionB_RealTimeInference,Count_RegionB_BatchInference,GPU_RegionB_BatchInference,GPUHour_RegionB_BatchInference,Count_RegionB_AITraining,GPU_RegionB_AITraining,GPUHour_RegionB_AITraining,Count_RegionC_RealTimeInference,GPU_RegionC_RealTimeInference,GPUHour_RegionC_RealTimeInference,Count_RegionC_BatchInference,GPU_RegionC_BatchInference,GPUHour_RegionC_BatchInference,Count_RegionC_AITraining,GPU_RegionC_AITraining,GPUHour_RegionC_AITraining,Count_RegionD_RealTimeInference,GPU_RegionD_RealTimeInference,GPUHour_RegionD_RealTimeInference,Count_RegionD_BatchInference,GPU_RegionD_BatchInference,GPUHour_RegionD_BatchInference,Count_RegionD_AITraining,GPU_RegionD_AITraining,GPUHour_RegionD_AITraining,Count_RegionE_RealTimeInference,GPU_RegionE_RealTimeInference,GPUHour_RegionE_RealTimeInference,Count_RegionE_BatchInference,GPU_RegionE_BatchInference,GPUHour_RegionE_BatchInference,Count_RegionE_AITraining,GPU_RegionE_AITraining,GPUHour_RegionE_AITraining,Count_RegionF_RealTimeInference,GPU_RegionF_RealTimeInference,GPUHour_RegionF_RealTimeInference,Count_RegionF_BatchInference,GPU_RegionF_BatchInference,GPUHour_RegionF_BatchInference,Count_RegionF_AITraining,GPU_RegionF_AITraining,GPUHour_RegionF_AITraining
11,25,669,1911.9166666666667,2.0,13.0,43.8,1.0,16.0,54.4,0.0,0.0,0.0,3.0,12.0,30.583333333333332,1.0,23.0,24.916666666666664,0.0,0.0,0.0,3.0,11.0,14.900000000000002,1.0,10.0,27.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,4.0,67.0,227.39999999999998,3.0,234.0,568.4333333333334,0.0,0.0,0.0,1.0,21.0,65.10000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,29.133333333333333,4.0,238.0,826.0833333333333
12,18,493,1805.1166666666666,2.0,6.0,21.766666666666666,1.0,16.0,6.4,0.0,0.0,0.0,1.0,7.0,2.4499999999999997,0.0,0.0,0.0,1.0,119.0,602.9333333333333,2.0,7.0,41.18333333333334,1.0,17.0,52.7,1.0,49.0,169.86666666666667,0.0,0.0,0.0,1.0,20.0,41.66666666666667,2.0,100.0,385.3166666666666,0.0,0.0,0.0,1.0,20.0,106.66666666666666,2.0,107.0,249.48333333333332,2.0,8.0,50.449999999999996,1.0,17.0,74.23333333333332,0.0,0.0,0.0
13,25,753,2860.6,2.0,7.0,24.383333333333333,4.0,56.0,279.5,1.0,45.0,28.5,1.0,2.0,11.866666666666667,2.0,28.0,111.66666666666666,0.0,0.0,0.0,2.0,6.0,24.6,2.0,40.0,161.96666666666667,1.0,28.0,13.533333333333333,0.0,0.0,0.0,2.0,25.0,149.08333333333331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,68.2,4.0,281.0,1105.7333333333333,1.0,4.0,13.066666666666666,0.0,0.0,0.0,2.0,219.0,868.5
14,25,583,1536.4833333333333,4.0,17.0,13.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,91.96666666666667,1.0,5.0,28.833333333333332,0.0,0.0,0.0,3.0,15.0,41.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.5,1.0,16.0,19.466666666666665,4.0,230.0,817.5,0.0,0.0,0.0,1.0,16.0,10.133333333333333,2.0,147.0,229.8,0.0,0.0,0.0,2.0,22.0,53.8,1.0,92.0,222.33333333333331
15,28,789,2751.5,3.0,13.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,28.0,89.63333333333333,1.0,7.0,44.800000000000004,1.0,98.0,454.0666666666667,3.0,15.0,58.0,3.0,37.0,162.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,267.0,1073.6166666666668,1.0,3.0,1.7,1.0,22.0,50.233333333333334,1.0,65.0,61.75,0.0,0.0,0.0,1.0,23.0,45.233333333333334,2.0,211.0,660.3166666666667
16,18,294,690.4,2.0,9.0,33.1,3.0,39.0,117.76666666666665,1.0,50.0,91.66666666666666,1.0,1.0,5.233333333333333,2.0,33.0,90.1,2.0,118.0,209.31666666666666,5.0,15.0,45.61666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,87.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,25,834,2674.9833333333336,2.0,9.0,16.650000000000002,1.0,19.0,27.55,0.0,0.0,0.0,3.0,16.0,47.38333333333333,3.0,42.0,136.76666666666665,1.0,33.0,78.1,2.0,9.0,25.049999999999997,1.0,20.0,101.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.699999999999999,1.0,87.0,214.60000000000002,1.0,7.0,15.866666666666667,0.0,0.0,0.0,3.0,213.0,465.01666666666665,0.0,0.0,0.0,1.0,8.0,23.2,5.0,365.0,1517.4333333333334
18,22,603,2119.3333333333335,2.0,12.0,33.65,2.0,17.0,46.516666666666666,1.0,41.0,269.91666666666663,2.0,11.0,51.666666666666664,1.0,12.0,40.2,1.0,109.0,363.33333333333337,3.0,7.0,15.983333333333334,3.0,48.0,108.46666666666667,1.0,40.0,148.66666666666669,0.0,0.0,0.0,1.0,18.0,7.5,2.0,158.0,635.4666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,26.666666666666664,2.0,110.0,371.29999999999995
19,26,829,4049.016666666667,4.0,7.0,26.21666666666667,2.0,40.0,135.71666666666667,3.0,255.0,1424.5166666666667,2.0,7.0,16.5,1.0,5.0,11.666666666666668,2.0,155.0,826.1833333333334,1.0,1.0,3.5833333333333335,0.0,0.0,0.0,1.0,23.0,49.83333333333333,0.0,0.0,0.0,2.0,21.0,56.85,2.0,195.0,1084.5833333333335,0.0,0.0,0.0,1.0,16.0,83.2,1.0,29.0,85.55000000000001,0.0,0.0,0.0,3.0,41.0,106.35,1.0,34.0,138.26666666666665
20,19,577,2045.9166666666667,1.0,2.0,4.033333333333333,2.0,39.0,174.73333333333335,0.0,0.0,0.0,1.0,2.0,0.36666666666666664,2.0,23.0,25.766666666666666,1.0,52.0,200.20000000000002,1.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.3333333333333335,3.0,25.0,58.38333333333333,2.0,151.0,362.3833333333333,0.0,0.0,0.0,2.0,40.0,125.5,1.0,85.0,461.83333333333337,0.0,0.0,0.0,0.0,0.0,0.0,2.0,152.0,603.3833333333333
21,21,1105,2819.9166666666665,4.0,15.0,57.7,1.0,11.0,44.36666666666667,1.0,59.0,222.23333333333332,0.0,0.0,0.0,4.0,50.0,86.4,1.0,122.0,61.0,1.0,1.0,2.216666666666667,1.0,12.0,55.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0,489.25000000000006,0.0,0.0,0.0,0.0,0.0,0.0,3.0,334.0,868.0333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.0,406.0,933.5166666666667
22,17,249,917.5166666666668,3.0,20.0,30.08333333333334,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,52.68333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,35.68333333333334,1.0,4.0,18.8,1.0,45.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,135.0,702.7833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,30.25,1.0,11.0,25.483333333333334,0.0,0.0,0.0
23,21,435,1134.25,4.0,17.0,45.8,1.0,22.0,100.1,2.0,88.0,289.1,4.0,18.0,34.18333333333334,1.0,19.0,79.8,0.0,0.0,0.0,1.0,7.0,44.68333333333334,1.0,9.0,36.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,46.8,1.0,98.0,63.7,0.0,0.0,0.0,1.0,17.0,109.08333333333334,0.0,0.0,0.0,1.0,6.0,21.400000000000002,2.0,27.0,157.39999999999998,1.0,99.0,105.6
24,19,676,2642.25,2.0,6.0,31.4,1.0,21.0,11.55,0.0,0.0,0.0,1.0,3.0,18.0,2.0,13.0,59.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,107.7,3.0,173.0,694.8833333333332,0.0,0.0,0.0,3.0,37.0,203.75,1.0,63.0,266.7,0.0,0.0,0.0,2.0,28.0,137.43333333333334,3.0,314.0,1110.9833333333331
25,17,405,922.6333333333334,3.0,4.0,21.083333333333332,1.0,7.0,36.050000000000004,0.0,0.0,0.0,2.0,12.0,32.53333333333333,2.0,15.0,27.783333333333335,1.0,127.0,154.51666666666665,1.0,2.0,5.133333333333334,1.0,7.0,44.449999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,170.0,419.1333333333333,0.0,0.0,0.0,2.0,15.0,11.75,1.0,46.0,170.20000000000002
26,24,688,2667.3833333333337,2.0,14.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,45.599999999999994,1.0,79.0,393.68333333333334,0.0,0.0,0.0,3.0,35.0,112.91666666666667,2.0,65.0,202.25,1.0,6.0,28.5,4.0,49.0,173.96666666666667,2.0,105.0,135.71666666666667,1.0,2.0,1.0666666666666667,2.0,37.0,108.71666666666667,3.0,273.0,1372.3666666666668
27,24,727,1795.95,2.0,12.0,34.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,62.16666666666667,1.0,23.0,113.46666666666667,0.0,0.0,0.0,2.0,9.0,15.75,0.0,0.0,0.0,1.0,115.0,51.75,2.0,9.0,7.183333333333334,2.0,9.0,27.299999999999997,3.0,169.0,574.5333333333333,1.0,7.0,42.46666666666667,0.0,0.0,0.0,1.0,117.0,122.85000000000001,0.0,0.0,0.0,1.0,13.0,54.38333333333334,3.0,230.0,689.9333333333334
28,27,1196,3074.8,4.0,19.0,60.233333333333334,1.0,12.0,15.8,0.0,0.0,0.0,1.0,4.0,5.666666666666667,1.0,19.0,43.38333333333333,0.0,0.0,0.0,2.0,7.0,42.86666666666667,2.0,38.0,128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,556.0,1164.25,0.0,0.0,0.0,1.0,22.0,99.36666666666666,2.0,169.0,817.4833333333333,1.0,7.0,30.099999999999998,1.0,7.0,14.349999999999998,4.0,336.0,652.7
29,29,1024,3397.5,2.0,7.0,13.833333333333334,2.0,23.0,53.81666666666666,1.0,105.0,621.25,3.0,10.0,32.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,66.16666666666667,2.0,35.0,133.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,170.16666666666669,4.0,300.0,972.05,0.0,0.0,0.0,0.0,0.0,0.0,4.0,351.0,992.3166666666666,1.0,4.0,12.133333333333333,1.0,8.0,21.2,2.0,116.0,309.0333333333333
30,15,396,1336.8666666666666,2.0,9.0,43.0,1.0,4.0,8.666666666666666,2.0,151.0,376.7166666666667,4.0,15.0,36.7,0.0,0.0,0.0,1.0,102.0,571.1999999999999,1.0,2.0,7.0,1.0,6.0,26.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,155.91666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,111.46666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15,178,656.2166666666667,3.0,18.0,93.91666666666667,1.0,5.0,10.583333333333334,1.0,63.0,150.15,3.0,11.0,17.28333333333333,1.0,9.0,56.25,0.0,0.0,0.0,1.0,4.0,22.066666666666666,1.0,7.0,21.583333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,111.46666666666667,1.0,17.0,102.28333333333333,0.0,0.0,0.0,2.0,22.0,70.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,1205,3740.866666666667,0.0,0.0,0.0,1.0,4.0,5.733333333333333,0.0,0.0,0.0,4.0,25.0,60.300000000000004,3.0,44.0,78.76666666666667,0.0,0.0,0.0,1.0,6.0,4.6000000000000005,5.0,61.0,258.1333333333333,2.0,172.0,486.9333333333334,0.0,0.0,0.0,4.0,60.0,167.26666666666665,3.0,119.0,456.1333333333333,0.0,0.0,0.0,1.0,22.0,19.066666666666666,3.0,214.0,466.23333333333335,1.0,5.0,4.583333333333333,0.0,0.0,0.0,5.0,473.0,1733.1166666666668
33,23,731,2453.1833333333334,2.0,2.0,9.083333333333332,4.0,65.0,208.66666666666669,0.0,0.0,0.0,1.0,6.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,46.08333333333333,0.0,0.0,0.0,1.0,76.0,110.2,0.0,0.0,0.0,3.0,33.0,101.66666666666666,1.0,30.0,76.5,0.0,0.0,0.0,1.0,22.0,85.43333333333334,3.0,313.0,1079.6333333333332,1.0,4.0,15.266666666666667,1.0,8.0,14.8,4.0,165.0,681.75
34,34,1140,4660.566666666667,5.0,15.0,47.28333333333333,3.0,25.0,84.25,1.0,51.0,337.45,1.0,2.0,7.766666666666667,2.0,37.0,204.16666666666669,0.0,0.0,0.0,3.0,11.0,20.616666666666664,3.0,52.0,130.13333333333333,1.0,97.0,370.2166666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,307.0,1142.3166666666666,0.0,0.0,0.0,1.0,15.0,15.25,4.0,303.0,1393.4,0.0,0.0,0.0,3.0,37.0,132.48333333333335,3.0,188.0,775.2333333333333
35,15,423,1361.4833333333333,1.0,4.0,20.6,1.0,17.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0,0.0,2.0,12.0,9.666666666666666,2.0,42.0,109.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,120.75,2.0,201.0,732.4833333333333,0.0,0.0,0.0,2.0,34.0,27.866666666666667,1.0,68.0,245.93333333333334,1.0,4.0,5.333333333333333,1.0,12.0,56.2,0.0,0.0,0.0
36,15,691,2790.233333333333,2.0,10.0,36.55,1.0,15.0,44.5,1.0,68.0,283.33333333333337,1.0,3.0,12.899999999999999,1.0,14.0,90.06666666666666,1.0,74.0,479.76666666666665,0.0,0.0,0.0,1.0,12.0,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,364.0,1574.2833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,131.0,199.03333333333333
37,16,504,1346.5166666666667,1.0,3.0,13.75,2.0,24.0,55.800000000000004,1.0,56.0,127.86666666666666,2.0,10.0,29.266666666666666,1.0,22.0,90.93333333333334,0.0,0.0,0.0,1.0,6.0,26.400000000000002,0.0,0.0,0.0,1.0,33.0,35.2,0.0,0.0,0.0,1.0,17.0,81.88333333333333,1.0,65.0,334.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,150.0,378.3333333333333,0.0,0.0,0.0,1.0,19.0,76.31666666666666,2.0,99.0,96.01666666666668
38,20,542,1041.1499999999999,1.0,1.0,0.8333333333333334,1.0,4.0,3.933333333333333,0.0,0.0,0.0,5.0,19.0,70.35,1.0,10.0,29.0,0.0,0.0,0.0,3.0,19.0,91.0,0.0,0.0,0.0,1.0,111.0,484.69999999999993,0.0,0.0,0.0,1.0,13.0,58.5,1.0,53.0,92.75,0.0,0.0,0.0,3.0,35.0,66.7,2.0,229.0,128.98333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,14.399999999999999
39,27,531,1337.9166666666665,5.0,20.0,52.95,4.0,48.0,173.0,0.0,0.0,0.0,3.0,4.0,17.233333333333334,2.0,22.0,83.7,0.0,0.0,0.0,2.0,9.0,21.7,1.0,10.0,7.833333333333333,0.0,0.0,0.0,1.0,3.0,7.0,3.0,55.0,117.7,2.0,136.0,290.93333333333334,1.0,6.0,20.700000000000003,0.0,0.0,0.0,2.0,121.0,375.41666666666663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,169.75
40,25,719,3094.2,4.0,16.0,69.05000000000001,1.0,22.0,106.69999999999999,0.0,0.0,0.0,1.0,7.0,3.15,1.0,8.0,12.8,0.0,0.0,0.0,1.0,4.0,9.466666666666667,3.0,27.0,95.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,22.75,3.0,150.0,590.3666666666667,1.0,1.0,5.75,2.0,12.0,28.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,465.0,2150.2833333333333
41,16,664,2928.9,2.0,11.0,29.666666666666668,2.0,23.0,66.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,41.7,1.0,37.0,126.41666666666666,1.0,2.0,7.833333333333333,1.0,11.0,29.700000000000003,2.0,180.0,818.2833333333334,1.0,2.0,6.033333333333333,1.0,19.0,27.55,1.0,123.0,369.0,1.0,1.0,2.1666666666666665,0.0,0.0,0.0,1.0,125.0,810.4166666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,593.6
42,24,473,2135.5499999999997,6.0,28.0,80.15,2.0,26.0,99.96666666666668,0.0,0.0,0.0,3.0,9.0,38.38333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,7.550000000000001,1.0,7.0,1.4000000000000001,0.0,0.0,0.0,1.0,1.0,3.033333333333333,1.0,19.0,86.76666666666667,2.0,54.0,145.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,146.0,855.3499999999999,1.0,7.0,13.066666666666666,2.0,45.0,110.65,1.0,121.0,693.7333333333333
43,21,585,2099.8166666666666,3.0,8.0,37.71666666666667,4.0,67.0,211.8,0.0,0.0,0.0,2.0,13.0,50.56666666666666,0.0,0.0,0.0,1.0,59.0,322.53333333333336,1.0,3.0,7.45,2.0,34.0,168.06666666666666,1.0,125.0,766.6666666666667,1.0,5.0,1.1666666666666667,1.0,18.0,26.4,1.0,126.0,121.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,54.6,0.0,0.0,0.0,1.0,12.0,22.0,2.0,63.0,309.05
44,22,916,3744.4,1.0,1.0,3.3,0.0,0.0,0.0,1.0,111.0,703.0,2.0,8.0,30.03333333333333,1.0,15.0,3.0,1.0,66.0,343.2,1.0,4.0,5.8,2.0,13.0,31.383333333333333,1.0,44.0,269.8666666666667,1.0,5.0,30.166666666666664,2.0,32.0,74.13333333333334,5.0,359.0,1558.1000000000001,0.0,0.0,0.0,1.0,4.0,21.266666666666666,2.0,129.0,189.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,481.25
45,19,504,2226.6,1.0,7.0,32.43333333333334,1.0,23.0,145.28333333333333,0.0,0.0,0.0,2.0,4.0,19.15,1.0,19.0,82.01666666666667,0.0,0.0,0.0,2.0,12.0,28.999999999999996,0.0,0.0,0.0,1.0,21.0,118.65,0.0,0.0,0.0,4.0,28.0,69.13333333333333,1.0,75.0,322.5,1.0,6.0,19.900000000000002,0.0,0.0,0.0,3.0,203.0,927.9833333333333,0.0,0.0,0.0,1.0,19.0,3.8000000000000003,1.0,87.0,456.75
46,19,418,1072.1333333333332,0.0,0.0,0.0,1.0,21.0,55.65,1.0,53.0,187.26666666666665,0.0,0.0,0.0,1.0,13.0,38.13333333333333,0.0,0.0,0.0,4.0,19.0,23.2,2.0,24.0,62.14999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,15.2,0.0,0.0,0.0,2.0,38.0,92.23333333333332,2.0,109.0,136.63333333333333,1.0,7.0,35.233333333333334,2.0,32.0,81.06666666666666,2.0,78.0,345.3666666666667
