TaskID,区域,开工小时
3052,RegionA,1369
3083,RegionA,992
3116,RegionA,246
3126,RegionA,1559
3156,RegionA,846
3163,RegionB,2313
3165,RegionA,2282
3179,RegionA,106
3189,RegionA,1673
3190,RegionA,1105
3220,RegionB,2050
3221,RegionA,736
3248,RegionA,538
3334,RegionA,1148
3343,RegionC,2035
3359,RegionA,149
3366,RegionA,422
3397,RegionE,2185
3404,RegionA,588
3410,RegionE,1946
3415,RegionB,2080
3444,RegionA,2378
3476,RegionA,47
3500,RegionB,2156
3547,RegionA,1082
3574,RegionE,48
3581,RegionA,97
3609,RegionB,142
3615,RegionA,1599
3635,RegionA,2271
3652,RegionB,1383
3657,RegionA,2373
3662,RegionB,534
3690,RegionB,365
3704,RegionB,2284
3707,RegionA,1482
3709,RegionA,1901
3740,RegionA,1586
3779,RegionB,1965
3781,RegionB,1881
3803,RegionA,2288
3860,RegionA,974
3863,RegionA,1805
3898,RegionA,2008
3914,RegionA,352
3983,RegionA,1810
4005,RegionA,507
4010,RegionA,1136
4036,RegionA,1343
4044,RegionB,1948
4070,RegionA,551
4112,RegionE,1500
4120,RegionA,961
4131,RegionA,1923
4137,RegionA,843
4140,RegionA,1226
4148,RegionB,376
4154,RegionA,1422
4181,RegionA,614
4182,RegionA,113
4255,RegionA,1251
4272,RegionA,1894
4297,RegionA,1514
4309,RegionA,1928
4335,RegionE,773
4373,RegionA,1158
4381,RegionA,667
4403,RegionA,1190
4422,RegionB,746
4424,RegionA,1704
4458,RegionA,1841
4506,RegionB,260
4514,RegionA,2111
4532,RegionB,1004
4546,RegionA,40
4567,RegionA,1235
4602,RegionA,1743
4604,RegionA,254
4615,RegionA,591
4625,RegionB,495
4637,RegionA,2002
4649,RegionA,1332
4650,RegionB,1677
4668,RegionA,77
4683,RegionA,1046
4705,RegionB,1102
4711,RegionC,2049
4731,RegionA,2279
4744,RegionB,39
4821,RegionB,253
4830,RegionB,43
4870,RegionA,429
4880,RegionA,27
4932,RegionA,899
5115,RegionD,875
5158,RegionA,938
5179,RegionA,1736
5191,RegionA,1562
5203,RegionB,633
5204,RegionA,17
5205,RegionA,2050
5232,RegionA,1574
5260,RegionA,1845
5264,RegionB,1062
5270,RegionA,1133
5301,RegionA,1319
5305,RegionA,1984
5339,RegionB,1061
5351,RegionB,1589
5386,RegionA,1324
5407,RegionC,139
5408,RegionA,986
5430,RegionD,1660
5452,RegionB,2127
5487,RegionA,2176
5530,RegionA,676
5562,RegionA,2329
5567,RegionC,1457
5605,RegionA,449
5610,RegionA,1401
5713,RegionC,2189
5714,RegionA,5
5731,RegionB,1811
5741,RegionA,773
5748,RegionB,587
5752,RegionA,2157
5810,RegionB,370
5828,RegionA,1481
5836,RegionB,2258
5840,RegionC,586
5865,RegionA,1623
5876,RegionD,2290
5884,RegionB,1105
5910,RegionC,2056
5911,RegionB,97
5926,RegionB,1587
5929,RegionE,2322
5932,RegionA,1267
5936,RegionA,1210
5959,RegionC,633
5976,RegionC,1950
5987,RegionA,93
5991,RegionA,580
5996,RegionC,1062
5997,RegionA,220
6000,RegionC,813
6011,RegionA,616
6046,RegionA,425
6112,RegionA,2024
6118,RegionA,1719
6162,RegionA,2094
6170,RegionB,881
6180,RegionA,1579
6203,RegionC,1381
6210,RegionB,2279
6218,RegionC,42
6247,RegionB,843
6304,RegionB,833
6308,RegionA,758
6332,RegionA,1247
6362,RegionA,168
6398,RegionA,1070
6423,RegionB,2377
6427,RegionD,1608
6428,RegionA,1650
6437,RegionC,497
6450,RegionA,626
6510,RegionB,184
6520,RegionB,1025
6525,RegionA,1315
6533,RegionA,824
6550,RegionA,275
6563,RegionA,646
6576,RegionC,570
6586,RegionA,1108
6598,RegionE,1585
6639,RegionB,502
6641,RegionB,962
6690,RegionA,1469
6693,RegionC,2373
6730,RegionC,1191
6740,RegionA,919
6765,RegionA,2202
6790,RegionA,1201
6834,RegionE,27
6844,RegionA,560
6856,RegionB,2135
6864,RegionB,1984
6870,RegionB,2009
6907,RegionC,1099
6986,RegionB,149
6989,RegionA,1098
7012,RegionA,1783
7024,RegionE,2147
7038,RegionC,1412
7057,RegionE,374
7062,RegionB,561
7067,RegionB,2294
7136,RegionA,1398
7143,RegionA,1300
7146,RegionA,1534
7158,RegionB,1208
7210,RegionB,2326
7213,RegionC,370
7221,RegionE,756
7222,RegionC,832
7225,RegionB,2274
7249,RegionB,2047
7262,RegionB,1904
7263,RegionA,1418
7313,RegionE,313
7347,RegionC,261
7371,RegionA,638
7457,RegionE,995
7479,RegionB,1197
7496,RegionC,1982
7521,RegionA,1868
7527,RegionA,2140
7535,RegionB,1959
7537,RegionB,1949
7542,RegionD,2382
7609,RegionA,1597
7667,RegionE,1644
7691,RegionC,1455
7692,RegionC,562
7704,RegionB,667
7725,RegionA,726
7744,RegionB,105
7754,RegionB,1719
7755,RegionA,460
7787,RegionA,585
7811,RegionD,930
7818,RegionE,2067
7847,RegionA,1680
7853,RegionA,1435
7875,RegionA,1995
7878,RegionB,1485
7879,RegionB,2025
7894,RegionB,1998
7922,RegionA,857
7942,RegionC,777
7957,RegionB,1326
7959,RegionA,1007
7962,RegionE,2025
7966,RegionB,50
7979,RegionB,1311
7996,RegionC,2293
8001,RegionB,1451
8015,RegionB,216
8078,RegionA,980
8091,RegionB,1199
8111,RegionA,1776
8123,RegionA,476
8157,RegionA,2122
8160,RegionB,936
8178,RegionB,1195
8204,RegionA,81
8215,RegionA,1174
8218,RegionE,1507
8242,RegionB,1926
8246,RegionC,816
8252,RegionC,845
8271,RegionA,1259
8279,RegionA,622
8348,RegionB,357
8362,RegionD,1773
8410,RegionA,1445
8466,RegionC,2001
8475,RegionB,1841
8514,RegionA,1291
8562,RegionB,1431
8594,RegionC,2046
8606,RegionA,1242
8619,RegionA,124
8631,RegionD,152
8695,RegionB,1255
8699,RegionC,96
8702,RegionB,760
8740,RegionB,2056
8741,RegionB,1897
8755,RegionB,23
8793,RegionA,603
8797,RegionA,2089
8801,RegionB,1242
8804,RegionB,772
8810,RegionA,598
8822,RegionA,788
8846,RegionC,1922
8858,RegionA,1372
8865,RegionC,1480
8880,RegionB,1043
8934,RegionA,411
8955,RegionC,1190
8971,RegionB,690
8977,RegionC,936
8978,RegionA,650
8979,RegionE,2264
8983,RegionC,1200
9004,RegionB,1333
9009,RegionA,684
9048,RegionB,1798
9061,RegionB,1204
9124,RegionB,1230
9126,RegionB,2273
9142,RegionB,1367
9148,RegionB,1173
9166,RegionA,1268
9177,RegionB,266
9191,RegionB,985
9222,RegionB,1994
9230,RegionB,1477
9236,RegionB,605
9250,RegionB,1290
9306,RegionA,664
9339,RegionA,133
9351,RegionA,2040
9354,RegionA,1167
9360,RegionB,1082
9372,RegionA,1653
9378,RegionB,16
9379,RegionE,1953
9387,RegionB,2330
9446,RegionA,244
9451,RegionD,1160
9489,RegionA,444
9510,RegionD,1913
9520,RegionB,1148
9528,RegionA,1949
9548,RegionB,856
9552,RegionB,550
9562,RegionC,1721
9585,RegionA,2381
9589,RegionE,2294
9595,RegionC,517
9618,RegionC,99
9655,RegionB,965
9671,RegionC,248
9675,RegionC,2276
9703,RegionC,1452
9758,RegionC,854
9775,RegionA,1274
9777,RegionA,2154
9792,RegionD,377
9868,RegionC,779
9870,RegionC,1205
9891,RegionA,2319
9902,RegionA,61
9915,RegionB,672
9940,RegionA,1146
9987,RegionB,576
10012,RegionB,2209
10032,RegionB,917
10115,RegionA,796
10117,RegionA,1393
10153,RegionE,1615
10158,RegionA,439
10169,RegionB,1449
10181,RegionA,1355
10227,RegionC,26
10244,RegionA,1701
10270,RegionB,1920
10288,RegionB,682
10305,RegionA,1830
10308,RegionA,2338
10309,RegionC,1802
10310,RegionB,663
10319,RegionA,535
10348,RegionB,2364
10349,RegionA,1426
10361,RegionA,1629
10365,RegionA,483
10398,RegionB,614
10404,RegionB,5
10407,RegionA,2389
10461,RegionD,1840
10485,RegionB,805
10508,RegionA,131
10518,RegionC,1033
10523,RegionB,2305
10556,RegionB,274
10568,RegionA,2235
10574,RegionA,1820
10575,RegionA,2201
10649,RegionB,168
10662,RegionA,952
10748,RegionB,1272
10782,RegionA,1525
10786,RegionA,25
10816,RegionC,2283
10863,RegionB,1142
10873,RegionA,63
10903,RegionC,461
10926,RegionA,45
10965,RegionB,2141
10975,RegionC,1590
11025,RegionB,2267
11032,RegionF,1503
11041,RegionC,1140
11046,RegionA,239
11057,RegionB,241
11069,RegionB,1804
11143,RegionC,410
11183,RegionE,12
11250,RegionA,1572
11280,RegionB,1444
11336,RegionC,1797
11417,RegionA,2292
11427,RegionA,322
11450,RegionB,725
11463,RegionB,981
11464,RegionA,1856
11488,RegionA,492
11507,RegionB,1821
11509,RegionC,2364
11514,RegionA,456
11542,RegionC,109
11550,RegionD,617
11568,RegionA,2071
11571,RegionA,57
11576,RegionC,2286
11587,RegionA,887
11623,RegionB,2338
11635,RegionA,317
11651,RegionB,2032
11680,RegionB,472
11687,RegionA,955
11711,RegionB,94
11723,RegionC,2331
11726,RegionA,202
11732,RegionB,2166
11747,RegionE,1250
11770,RegionC,2338
11839,RegionE,1907
11844,RegionB,2197
11856,RegionC,550
11868,RegionA,1792
11873,RegionB,1138
11877,RegionB,2382
11881,RegionC,1109
11915,RegionC,1988
11920,RegionB,352
11939,RegionA,718
11944,RegionE,669
11955,RegionB,828
12013,RegionA,342
12015,RegionB,708
12029,RegionE,1595
12032,RegionA,1590
12047,RegionC,577
12067,RegionA,2250
12068,RegionA,233
12106,RegionB,1015
12198,RegionA,2229
12214,RegionA,611
12217,RegionB,871
12256,RegionB,754
12270,RegionB,949
12298,RegionE,2057
12303,RegionC,2167
12310,RegionA,1499
12337,RegionC,1965
12370,RegionD,197
12373,RegionC,2365
12418,RegionA,335
12426,RegionC,1823
12432,RegionA,905
12440,RegionC,518
12452,RegionB,2350
12457,RegionB,1160
12462,RegionE,1405
12466,RegionC,1801
12479,RegionC,1369
12513,RegionA,33
12516,RegionA,1729
12539,RegionA,2010
12548,RegionA,2063
12572,RegionA,348
12608,RegionB,1562
12609,RegionB,205
12614,RegionB,620
12630,RegionC,106
12634,RegionA,1849
12647,RegionC,2031
12649,RegionA,2241
12688,RegionA,1760
12706,RegionA,2342
12717,RegionA,1141
12722,RegionB,480
12723,RegionC,2351
12729,RegionB,816
12732,RegionA,1471
12786,RegionC,1137
12788,RegionA,1828
12799,RegionA,2208
12800,RegionB,2076
12822,RegionB,2248
12843,RegionB,1437
12888,RegionA,1690
12901,RegionA,1377
12934,RegionD,1644
12949,RegionB,859
12999,RegionB,60
13005,RegionB,1600
13050,RegionA,12
13079,RegionB,150
13090,RegionB,400
13139,RegionB,1287
13164,RegionE,1206
13213,RegionC,1892
13217,RegionA,2345
13223,RegionE,1763
13227,RegionB,1858
13258,RegionA,166
13322,RegionC,1107
13323,RegionA,782
13363,RegionC,2128
13386,RegionB,2184
13400,RegionE,1710
13412,RegionA,948
13417,RegionB,2206
13444,RegionB,455
13445,RegionB,811
13469,RegionC,354
13496,RegionC,49
13498,RegionB,2051
13522,RegionC,1588
13523,RegionB,1655
13529,RegionC,244
13530,RegionA,1854
13571,RegionC,1239
13583,RegionA,1647
13584,RegionA,2366
13600,RegionA,1659
13646,RegionB,2101
13663,RegionA,1912
13697,RegionA,912
13728,RegionE,1752
13749,RegionA,1412
13825,RegionA,212
13903,RegionC,1565
13919,RegionC,481
13922,RegionA,323
13949,RegionA,1184
13957,RegionB,1016
13983,RegionB,886
14000,RegionC,2184
14007,RegionA,1306
14015,RegionB,2244
14028,RegionC,1672
14030,RegionE,1268
14032,RegionA,1833
14038,RegionB,1499
14044,RegionB,369
14054,RegionA,1336
14094,RegionA,545
14167,RegionB,1760
14224,RegionA,1350
14228,RegionB,1574
14243,RegionC,15
14266,RegionF,28
14288,RegionB,260
14303,RegionA,1102
14322,RegionB,2347
14329,RegionA,574
14366,RegionC,1476
14389,RegionB,546
14407,RegionA,1823
14410,RegionD,2149
14427,RegionB,2150
14471,RegionB,1322
14513,RegionB,551
14524,RegionB,427
14529,RegionB,1357
14537,RegionC,2252
14581,RegionE,1702
14592,RegionB,901
14628,RegionC,886
14654,RegionA,260
14676,RegionA,1990
14685,RegionB,1665
14708,RegionB,1048
14714,RegionB,527
14718,RegionC,534
14782,RegionB,2361
14786,RegionB,1590
14790,RegionB,641
14812,RegionC,415
14889,RegionE,194
14891,RegionC,616
14898,RegionA,1195
14910,RegionB,2226
14912,RegionC,1326
14937,RegionC,153
14944,RegionB,1426
14979,RegionB,1836
15012,RegionB,741
15042,RegionB,97
15060,RegionB,1410
15067,RegionB,908
15094,RegionB,339
15118,RegionB,1234
15137,RegionB,872
15147,RegionB,572
15173,RegionC,619
15179,RegionB,1530
15183,RegionC,238
15209,RegionC,484
15254,RegionA,118
15279,RegionA,1752
15336,RegionA,383
15339,RegionB,790
15352,RegionB,17
15384,RegionB,443
15396,RegionB,1113
15410,RegionB,49
15437,RegionB,1951
15449,RegionC,1013
15464,RegionA,621
15480,RegionB,31
15528,RegionA,361
15539,RegionB,393
15566,RegionC,375
15603,RegionA,14
15616,RegionC,993
15618,RegionA,2186
15633,RegionB,1772
15638,RegionA,2284
15671,RegionA,2254
15676,RegionD,1302
15714,RegionA,803
15726,RegionA,1671
15775,RegionC,2080
15780,RegionA,1031
15795,RegionC,803
15841,RegionB,331
15870,RegionC,343
15884,RegionC,881
15904,RegionC,261
15914,RegionB,346
15925,RegionB,1851
15939,RegionA,1886
15951,RegionB,42
15955,RegionC,2295
15964,RegionB,973
15985,RegionB,609
15990,RegionC,711
15998,RegionC,973
16013,RegionB,1941
16055,RegionB,1182
16064,RegionB,1872
16081,RegionA,1545
16098,RegionB,1544
16107,RegionB,358
16130,RegionA,2017
16142,RegionE,1998
16189,RegionA,2220
16193,RegionA,851
16240,RegionD,1214
16279,RegionC,2200
16296,RegionB,1054
16307,RegionC,1571
16329,RegionB,154
16342,RegionB,1673
16349,RegionB,880
16453,RegionC,1827
16478,RegionB,991
16527,RegionC,739
16563,RegionA,369
16567,RegionB,578
16601,RegionE,1515
16609,RegionC,356
16617,RegionB,777
16633,RegionC,1665
16654,RegionC,1560
16664,RegionC,1440
16669,RegionB,597
16670,RegionA,190
16741,RegionA,1468
16760,RegionA,453
16808,RegionC,32
16832,RegionB,1228
16845,RegionA,1609
16851,RegionA,1362
16957,RegionA,2174
17009,RegionC,1861
17013,RegionA,875
17030,RegionA,45
17042,RegionC,2074
17048,RegionC,1080
17071,RegionA,1384
17073,RegionD,2263
17110,RegionB,1154
17132,RegionB,1222
17137,RegionC,2262
17147,RegionC,274
17178,RegionD,355
17201,RegionC,979
17227,RegionA,2217
17286,RegionC,949
17288,RegionA,586
17302,RegionB,559
17352,RegionB,797
17386,RegionB,826
17391,RegionB,1629
17438,RegionC,1578
17439,RegionA,1416
17454,RegionE,1541
17475,RegionA,1179
17478,RegionC,1499
17498,RegionB,1351
17567,RegionB,225
17619,RegionC,1287
17631,RegionE,180
17655,RegionB,1557
17690,RegionE,344
17717,RegionB,1075
17753,RegionC,2097
17762,RegionF,17
17764,RegionA,153
17806,RegionB,301
17816,RegionB,1080
17856,RegionA,1874
17878,RegionC,267
17888,RegionA,678
17926,RegionE,951
17933,RegionC,1966
17982,RegionB,416
17985,RegionE,945
18040,RegionB,1693
18064,RegionE,1282
18095,RegionC,1625
18098,RegionB,1327
18105,RegionA,1865
18136,RegionE,2094
18171,RegionC,859
18203,RegionA,2238
18245,RegionA,1896
18248,RegionB,1646
18249,RegionB,905
18279,RegionA,1593
18286,RegionC,476
18312,RegionC,2102
18318,RegionA,2356
18341,RegionA,1396
18350,RegionA,2035
18358,RegionC,1813
18372,RegionE,967
18381,RegionA,1878
18386,RegionC,1075
18402,RegionC,796
18416,RegionA,630
18441,RegionB,119
18475,RegionA,10
18477,RegionE,1967
18478,RegionA,653
18479,RegionA,1711
18483,RegionC,1897
18504,RegionB,1108
18563,RegionB,485
18598,RegionA,705
18616,RegionB,1500
18652,RegionB,232
18665,RegionC,1859
18680,RegionA,577
18686,RegionA,1207
18688,RegionB,1866
18692,RegionA,330
18736,RegionC,1715
18744,RegionB,1016
18802,RegionA,1930
18803,RegionA,2167
18823,RegionC,1043
18850,RegionA,2161
18879,RegionC,1003
18881,RegionA,480
18882,RegionB,2066
18920,RegionA,1413
18922,RegionC,1503
18941,RegionC,1229
18953,RegionB,721
18967,RegionA,353
18974,RegionB,877
18979,RegionC,760
18988,RegionA,1187
18991,RegionC,2153
18999,RegionA,771
19000,RegionC,2344
19023,RegionC,93
19024,RegionA,1115
19038,RegionB,1615
19039,RegionA,802
19043,RegionC,224
19093,RegionC,2243
19117,RegionC,499
19135,RegionC,365
19173,RegionC,1059
19198,RegionC,346
19213,RegionA,1282
19225,RegionE,513
19290,RegionC,1675
19316,RegionB,1118
19342,RegionB,1791
19363,RegionA,1975
19386,RegionA,2225
19419,RegionB,1898
19438,RegionA,387
19484,RegionC,612
19507,RegionE,631
19524,RegionA,59
19549,RegionA,1651
19574,RegionC,1352
19585,RegionC,335
19614,RegionA,755
19619,RegionA,1576
19641,RegionC,2008
19667,RegionA,1590
19677,RegionB,539
19680,RegionA,242
19731,RegionA,1123
19732,RegionB,1249
19759,RegionC,776
19761,RegionC,1106
19842,RegionB,1339
19848,RegionE,1022
19887,RegionC,874
19891,RegionA,930
19900,RegionC,1206
19914,RegionC,1869
19935,RegionB,1649
19938,RegionA,15
19963,RegionC,828
20002,RegionB,1478
20025,RegionE,814
20046,RegionC,184
20060,RegionB,2002
20066,RegionA,749
20068,RegionB,1736
20079,RegionB,796
20115,RegionB,2179
20116,RegionB,813
20125,RegionA,1944
20131,RegionC,723
20168,RegionA,1079
20201,RegionC,1656
20206,RegionB,1863
20251,RegionB,1467
20260,RegionA,481
20275,RegionB,1419
20278,RegionC,2114
20286,RegionB,1534
20287,RegionA,2194
20358,RegionB,630
20366,RegionD,634
20368,RegionB,1977
20378,RegionC,1186
20450,RegionC,1691
20463,RegionC,1274
20489,RegionA,760
20490,RegionA,927
20511,RegionA,1444
20546,RegionB,760
20580,RegionC,1753
20598,RegionA,718
20615,RegionA,1459
20640,RegionB,131
20642,RegionE,1621
20675,RegionC,753
20696,RegionA,1013
20734,RegionA,200
20827,RegionC,338
20831,RegionC,2325
20845,RegionE,2059
20869,RegionA,276
20907,RegionA,1208
20910,RegionB,1394
20921,RegionA,305
20950,RegionE,1245
21012,RegionC,990
21103,RegionC,2383
21129,RegionC,1447
21137,RegionB,288
21138,RegionC,1252
21141,RegionC,2191
21156,RegionC,2051
21173,RegionE,1275
21184,RegionA,1197
21217,RegionB,159
21256,RegionA,225
21262,RegionB,1843
21319,RegionC,1161
21392,RegionC,844
21429,RegionE,572
21430,RegionA,90
21436,RegionC,379
21480,RegionB,1890
21543,RegionB,1275
21563,RegionC,858
21570,RegionA,685
21578,RegionC,1145
21607,RegionC,1061
21679,RegionA,828
21689,RegionB,1745
21705,RegionA,1465
21726,RegionB,336
21780,RegionA,1765
21793,RegionA,1006
21794,RegionA,359
21797,RegionC,2228
21822,RegionA,2054
21832,RegionC,1900
21882,RegionC,962
21902,RegionC,1238
21904,RegionA,49
21921,RegionE,1180
21949,RegionA,1808
21982,RegionC,230
21984,RegionA,2213
22031,RegionC,35
22071,RegionA,1795
22123,RegionC,2130
22142,RegionB,372
22160,RegionC,1986
22166,RegionC,1424
22182,RegionB,2090
22236,RegionB,1770
22243,RegionA,94
22263,RegionC,1841
22274,RegionA,563
22284,RegionA,1570
22303,RegionC,1042
22304,RegionB,1834
22308,RegionE,2221
22322,RegionC,2327
22323,RegionB,387
22348,RegionA,1390
22355,RegionA,2164
22370,RegionA,1365
22410,RegionC,455
22411,RegionA,1670
22434,RegionC,1391
22460,RegionA,1090
22463,RegionA,419
22521,RegionA,968
22558,RegionB,1990
22574,RegionB,1627
22579,RegionB,2117
22587,RegionB,1699
22607,RegionA,282
22610,RegionB,1838
22616,RegionE,1174
22631,RegionC,911
22685,RegionB,713
22696,RegionA,658
22730,RegionC,525
22741,RegionE,907
22776,RegionA,293
22809,RegionB,493
22823,RegionA,711
22843,RegionC,1330
22892,RegionC,1022
22957,RegionD,1795
22964,RegionF,46
22997,RegionB,658
23002,RegionA,1295
23037,RegionB,2218
23087,RegionB,318
23105,RegionC,1548
23130,RegionB,421
23190,RegionA,503
23226,RegionD,797
23247,RegionC,999
23278,RegionC,426
23308,RegionB,1419
23314,RegionC,2112
23335,RegionB,1460
23345,RegionC,1341
23368,RegionB,782
23383,RegionB,2281
23387,RegionB,212
23442,RegionA,1017
23450,RegionB,1501
23473,RegionC,128
23498,RegionC,131
23509,RegionA,2009
23523,RegionA,1139
23564,RegionB,245
23591,RegionB,1681
23603,RegionA,1424
23611,RegionB,1374
23675,RegionC,143
23678,RegionC,1499
23682,RegionA,2396
23683,RegionC,1944
23694,RegionC,808
23708,RegionA,2387
23745,RegionB,1190
23748,RegionB,2071
23752,RegionA,1624
23809,RegionB,1775
23829,RegionA,1861
23835,RegionB,1583
23875,RegionA,1474
23906,RegionC,535
23910,RegionC,1719
23949,RegionC,2066
23993,RegionC,1226
23998,RegionC,746
24011,RegionB,1187
24012,RegionB,1508
24026,RegionA,226
24049,RegionC,1613
24090,RegionA,263
24091,RegionB,1779
24121,RegionC,1534
24164,RegionD,1964
24190,RegionB,2343
24194,RegionA,1798
24229,RegionC,519
24243,RegionE,1135
24262,RegionA,2151
24372,RegionB,1344
24400,RegionD,1165
24410,RegionA,1663
24418,RegionC,922
24421,RegionC,1652
24423,RegionC,674
24429,RegionA,1431
24430,RegionA,1215
24436,RegionC,142
24470,RegionB,1727
24484,RegionC,1909
24511,RegionB,85
24525,RegionE,1443
24531,RegionB,1762
24533,RegionB,851
24588,RegionA,1625
24589,RegionA,845
24590,RegionA,1981
24597,RegionE,417
24601,RegionC,1630
24604,RegionB,1022
24658,RegionA,1929
24661,RegionA,1149
24700,RegionA,1104
24723,RegionB,450
24736,RegionC,316
24751,RegionA,1369
24756,RegionC,1362
24762,RegionC,1932
24789,RegionB,1293
24805,RegionA,835
24810,RegionB,1678
24821,RegionA,1584
24853,RegionE,519
24881,RegionC,1190
24904,RegionC,1769
24926,RegionC,1434
24965,RegionA,1143
24968,RegionC,589
25021,RegionC,2357
25059,RegionC,1314
25071,RegionC,558
25088,RegionB,954
25108,RegionC,59
25145,RegionB,137
25165,RegionB,1043
25211,RegionC,415
25255,RegionC,1854
25269,RegionB,334
25315,RegionC,2315
25320,RegionC,2162
25369,RegionA,579
25375,RegionB,2261
25442,RegionB,1206
25452,RegionC,576
25454,RegionC,1080
25468,RegionA,1515
25534,RegionC,1584
25546,RegionC,1511
25566,RegionB,1795
25573,RegionA,1043
25577,RegionA,1207
25581,RegionE,1798
25588,RegionB,924
25596,RegionC,119
25602,RegionA,22
25620,RegionC,1484
25661,RegionA,2345
25692,RegionB,1282
25713,RegionC,17
25716,RegionA,2234
25721,RegionC,2219
25730,RegionA,752
25756,RegionC,1356
25775,RegionA,609
25833,RegionC,2170
25898,RegionA,99
25914,RegionC,318
25972,RegionA,2306
25975,RegionA,1476
26003,RegionB,223
26022,RegionC,2179
26042,RegionA,334
26053,RegionD,1066
26081,RegionA,1679
26097,RegionB,737
26100,RegionB,1402
26133,RegionB,1308
26174,RegionA,73
26198,RegionA,702
26239,RegionA,1076
26256,RegionB,2176
26264,RegionB,1671
26270,RegionE,1114
26306,RegionC,1961
26327,RegionC,609
26350,RegionC,885
26372,RegionB,912
26403,RegionC,421
26410,RegionC,1402
26442,RegionC,1074
26446,RegionC,2177
26450,RegionB,961
26459,RegionC,494
26468,RegionC,1927
26476,RegionA,1141
26527,RegionC,1997
26545,RegionD,649
26549,RegionA,2218
26555,RegionB,858
26582,RegionC,1294
26609,RegionB,1767
26631,RegionC,503
26660,RegionA,174
26673,RegionB,1276
26689,RegionB,1484
26769,RegionB,14
26774,RegionB,1164
26778,RegionB,1921
26830,RegionA,2267
26836,RegionB,2396
26857,RegionA,2107
26879,RegionC,2217
26894,RegionC,1449
26913,RegionA,1675
26919,RegionD,322
26933,RegionC,1767
26966,RegionB,263
26987,RegionC,2081
27018,RegionB,2297
27028,RegionA,1490
27031,RegionF,1495
27062,RegionC,1835
27085,RegionB,1134
27090,RegionE,649
27155,RegionD,912
27235,RegionB,565
27298,RegionB,1216
27325,RegionB,2289
27383,RegionB,1578
27389,RegionA,326
27391,RegionC,770
27394,RegionC,1115
27446,RegionA,2182
27455,RegionB,1897
27473,RegionA,1800
27535,RegionA,856
27537,RegionB,2188
27575,RegionE,119
27587,RegionA,731
27596,RegionC,1215
27613,RegionC,1047
27617,RegionA,104
27636,RegionB,2388
27663,RegionA,828
27671,RegionC,1057
27696,RegionA,297
27697,RegionA,1851
27708,RegionB,1911
27719,RegionC,919
27733,RegionC,915
27741,RegionA,2068
27756,RegionA,1077
27792,RegionA,914
27793,RegionA,766
