X_实时推理GPU需求_等效GPU,Y_实时推理执行时长_分钟,X_批量推理GPU需求_等效GPU,Y_批量推理执行时长_分钟,X_AI训练GPU需求_等效GPU,Y_AI训练执行时长_分钟
6,232,20.0,199.0,64.0,72.0
7,156,17.0,139.0,120.0,157.0
5,364,4.0,190.0,77.0,167.0
4,373,8.0,298.0,44.0,295.0
1,23,23.0,236.0,107.0,187.0
5,302,12.0,26.0,22.0,330.0
5,387,14.0,51.0,66.0,273.0
4,372,6.0,117.0,49.0,97.0
4,38,5.0,284.0,70.0,16.0
2,120,20.0,66.0,127.0,45.0
2,248,20.0,21.0,44.0,11.0
4,374,19.0,348.0,35.0,243.0
1,70,18.0,275.0,27.0,270.0
1,300,20.0,168.0,109.0,235.0
7,90,16.0,140.0,39.0,211.0
7,207,8.0,192.0,45.0,68.0
7,374,16.0,283.0,125.0,233.0
5,259,6.0,48.0,24.0,246.0
7,232,20.0,151.0,37.0,13.0
5,219,21.0,302.0,41.0,38.0
1,117,17.0,82.0,53.0,26.0
6,327,8.0,389.0,72.0,228.0
4,368,9.0,328.0,36.0,305.0
4,74,5.0,227.0,26.0,196.0
1,202,9.0,270.0,54.0,319.0
4,319,20.0,388.0,122.0,210.0
5,116,13.0,187.0,41.0,82.0
1,387,21.0,154.0,59.0,111.0
3,236,12.0,235.0,116.0,314.0
4,366,18.0,34.0,87.0,277.0
2,114,8.0,235.0,31.0,291.0
4,18,11.0,398.0,22.0,344.0
4,293,8.0,90.0,22.0,380.0
3,246,11.0,49.0,63.0,324.0
3,177,4.0,225.0,109.0,112.0
5,365,9.0,16.0,39.0,197.0
4,215,14.0,167.0,102.0,48.0
5,335,5.0,353.0,30.0,13.0
1,69,22.0,83.0,81.0,236.0
5,205,18.0,46.0,57.0,260.0
4,228,20.0,383.0,123.0,281.0
3,315,17.0,184.0,45.0,333.0
3,390,14.0,297.0,30.0,149.0
4,38,18.0,366.0,74.0,302.0
3,143,22.0,396.0,61.0,20.0
7,235,11.0,36.0,77.0,235.0
5,108,18.0,231.0,40.0,68.0
4,101,15.0,237.0,56.0,268.0
4,36,12.0,328.0,69.0,186.0
4,154,5.0,81.0,117.0,129.0
6,208,14.0,214.0,126.0,338.0
3,190,17.0,175.0,71.0,38.0
4,55,14.0,226.0,103.0,47.0
2,347,12.0,85.0,63.0,46.0
6,97,15.0,369.0,55.0,233.0
1,169,9.0,271.0,77.0,124.0
7,319,11.0,357.0,73.0,65.0
1,251,19.0,399.0,107.0,68.0
4,234,15.0,34.0,74.0,278.0
4,112,16.0,131.0,122.0,354.0
2,368,7.0,230.0,20.0,323.0
2,131,21.0,220.0,46.0,169.0
2,115,13.0,44.0,54.0,91.0
3,132,4.0,341.0,92.0,21.0
1,50,23.0,13.0,54.0,233.0
2,273,21.0,105.0,28.0,164.0
7,93,5.0,75.0,120.0,369.0
2,392,18.0,271.0,80.0,129.0
7,192,18.0,364.0,44.0,173.0
1,140,19.0,96.0,126.0,67.0
1,168,13.0,23.0,28.0,280.0
4,161,8.0,50.0,17.0,93.0
3,255,18.0,240.0,37.0,36.0
2,109,23.0,240.0,82.0,391.0
1,75,16.0,312.0,74.0,271.0
3,173,15.0,322.0,16.0,389.0
3,89,8.0,174.0,53.0,171.0
2,341,20.0,53.0,76.0,290.0
7,117,23.0,294.0,39.0,280.0
6,302,4.0,44.0,93.0,282.0
5,188,9.0,68.0,96.0,286.0
5,260,10.0,193.0,48.0,111.0
3,315,18.0,187.0,56.0,276.0
7,303,14.0,123.0,101.0,157.0
4,393,21.0,35.0,48.0,86.0
2,350,11.0,241.0,77.0,327.0
5,95,5.0,72.0,18.0,197.0
7,202,19.0,82.0,121.0,21.0
1,296,16.0,333.0,34.0,247.0
6,313,16.0,348.0,47.0,309.0
2,111,16.0,138.0,37.0,361.0
3,91,15.0,152.0,76.0,216.0
5,74,4.0,233.0,120.0,259.0
5,325,14.0,119.0,54.0,252.0
1,111,6.0,291.0,27.0,246.0
6,274,15.0,313.0,33.0,30.0
2,126,18.0,133.0,93.0,384.0
6,30,18.0,301.0,85.0,388.0
4,354,14.0,280.0,46.0,19.0
6,272,7.0,150.0,109.0,266.0
4,319,22.0,343.0,20.0,180.0
1,385,7.0,61.0,79.0,293.0
4,35,17.0,166.0,122.0,184.0
2,81,18.0,300.0,71.0,376.0
1,356,15.0,48.0,76.0,379.0
5,59,20.0,307.0,93.0,285.0
2,173,12.0,19.0,60.0,345.0
3,87,13.0,251.0,16.0,273.0
5,263,5.0,300.0,91.0,337.0
5,250,10.0,155.0,104.0,298.0
6,77,6.0,383.0,84.0,99.0
7,241,14.0,197.0,88.0,178.0
2,309,9.0,297.0,103.0,98.0
5,268,6.0,145.0,52.0,309.0
1,363,16.0,325.0,115.0,52.0
6,357,15.0,169.0,63.0,335.0
3,369,11.0,309.0,38.0,345.0
3,340,18.0,217.0,23.0,167.0
6,152,13.0,167.0,33.0,86.0
6,110,19.0,154.0,28.0,80.0
1,175,23.0,240.0,71.0,93.0
6,167,15.0,235.0,60.0,56.0
7,23,21.0,75.0,28.0,223.0
1,172,6.0,199.0,39.0,69.0
5,298,7.0,320.0,54.0,354.0
6,396,21.0,300.0,84.0,117.0
3,399,17.0,76.0,113.0,128.0
2,34,5.0,139.0,36.0,302.0
7,29,18.0,182.0,30.0,169.0
2,399,15.0,137.0,116.0,173.0
1,338,14.0,139.0,112.0,79.0
7,282,22.0,14.0,56.0,205.0
5,230,22.0,275.0,17.0,14.0
4,133,5.0,276.0,36.0,239.0
4,23,18.0,92.0,101.0,224.0
5,190,17.0,272.0,59.0,111.0
2,169,4.0,269.0,102.0,125.0
4,197,9.0,187.0,73.0,342.0
3,317,6.0,164.0,31.0,145.0
5,51,10.0,95.0,99.0,153.0
1,26,8.0,395.0,123.0,130.0
3,273,9.0,158.0,47.0,281.0
1,352,13.0,323.0,29.0,160.0
4,96,10.0,74.0,120.0,267.0
3,161,16.0,251.0,121.0,248.0
1,157,7.0,61.0,50.0,265.0
3,270,11.0,242.0,25.0,290.0
6,232,13.0,122.0,51.0,279.0
7,297,5.0,57.0,80.0,345.0
4,183,4.0,251.0,40.0,126.0
6,277,11.0,293.0,111.0,150.0
1,27,11.0,88.0,65.0,65.0
5,158,16.0,78.0,95.0,261.0
5,292,14.0,118.0,78.0,125.0
7,32,11.0,375.0,127.0,91.0
1,12,11.0,369.0,24.0,138.0
5,240,7.0,333.0,116.0,342.0
2,323,21.0,158.0,87.0,96.0
1,386,7.0,356.0,115.0,220.0
5,141,5.0,19.0,22.0,37.0
6,302,18.0,192.0,20.0,361.0
7,211,11.0,369.0,23.0,147.0
6,269,14.0,31.0,40.0,58.0
7,28,21.0,38.0,93.0,178.0
5,122,21.0,97.0,119.0,383.0
4,322,15.0,287.0,28.0,169.0
4,249,14.0,198.0,88.0,324.0
7,133,4.0,12.0,93.0,123.0
3,99,15.0,290.0,37.0,222.0
5,346,8.0,145.0,36.0,131.0
5,201,13.0,19.0,125.0,160.0
2,135,12.0,22.0,123.0,212.0
7,138,15.0,23.0,107.0,278.0
1,306,9.0,220.0,44.0,304.0
6,325,18.0,141.0,121.0,81.0
4,172,20.0,80.0,80.0,113.0
1,237,5.0,91.0,114.0,329.0
7,163,22.0,197.0,106.0,75.0
6,174,16.0,39.0,24.0,95.0
2,91,4.0,328.0,35.0,252.0
5,96,23.0,260.0,35.0,33.0
7,186,16.0,207.0,117.0,319.0
5,11,19.0,70.0,75.0,29.0
3,95,8.0,58.0,19.0,23.0
4,303,8.0,79.0,18.0,195.0
4,378,23.0,45.0,70.0,385.0
7,257,17.0,345.0,75.0,314.0
2,345,16.0,53.0,78.0,220.0
3,292,14.0,347.0,73.0,126.0
1,110,14.0,30.0,62.0,207.0
6,41,9.0,169.0,25.0,268.0
6,171,8.0,314.0,124.0,254.0
1,290,22.0,354.0,34.0,44.0
6,236,15.0,170.0,61.0,78.0
3,373,21.0,205.0,123.0,66.0
2,165,4.0,161.0,100.0,373.0
2,172,13.0,201.0,121.0,351.0
3,298,7.0,381.0,31.0,115.0
4,256,18.0,241.0,83.0,16.0
6,200,18.0,125.0,90.0,152.0
5,126,12.0,67.0,123.0,393.0
1,260,6.0,53.0,121.0,95.0
2,47,4.0,236.0,76.0,363.0
1,119,9.0,288.0,43.0,178.0
4,151,21.0,206.0,32.0,207.0
1,343,13.0,306.0,113.0,339.0
6,205,7.0,81.0,37.0,75.0
2,129,18.0,247.0,89.0,153.0
7,357,11.0,51.0,78.0,41.0
5,201,23.0,277.0,22.0,29.0
5,50,21.0,49.0,107.0,390.0
3,192,19.0,110.0,66.0,277.0
3,342,12.0,311.0,70.0,56.0
7,54,19.0,72.0,117.0,229.0
5,249,16.0,30.0,19.0,375.0
1,99,7.0,111.0,67.0,50.0
7,17,8.0,140.0,68.0,151.0
6,136,23.0,163.0,92.0,124.0
4,156,12.0,143.0,106.0,100.0
1,387,22.0,386.0,29.0,337.0
3,50,15.0,222.0,77.0,156.0
1,316,5.0,140.0,45.0,343.0
3,275,15.0,295.0,99.0,290.0
2,277,22.0,347.0,55.0,163.0
7,366,14.0,288.0,88.0,133.0
5,131,19.0,159.0,53.0,326.0
4,50,20.0,117.0,51.0,295.0
5,205,14.0,280.0,24.0,170.0
1,157,23.0,281.0,90.0,236.0
4,135,5.0,257.0,83.0,273.0
4,213,18.0,210.0,36.0,313.0
2,385,6.0,312.0,35.0,181.0
4,164,7.0,48.0,48.0,210.0
5,133,12.0,261.0,76.0,333.0
6,78,9.0,159.0,50.0,225.0
7,396,22.0,284.0,111.0,17.0
2,118,12.0,182.0,60.0,341.0
6,309,10.0,72.0,44.0,141.0
3,101,22.0,129.0,106.0,370.0
3,120,19.0,71.0,16.0,271.0
2,174,20.0,167.0,42.0,389.0
7,17,15.0,276.0,124.0,364.0
1,29,17.0,264.0,58.0,389.0
6,380,15.0,56.0,112.0,304.0
6,259,18.0,156.0,77.0,319.0
4,225,23.0,241.0,120.0,353.0
1,188,22.0,285.0,32.0,286.0
4,346,7.0,85.0,56.0,201.0
1,156,16.0,351.0,34.0,81.0
6,180,15.0,171.0,40.0,183.0
6,231,21.0,70.0,126.0,93.0
7,74,15.0,227.0,88.0,268.0
1,46,13.0,102.0,18.0,359.0
5,398,11.0,300.0,40.0,303.0
2,113,19.0,349.0,43.0,116.0
4,367,20.0,198.0,33.0,108.0
3,268,9.0,311.0,82.0,165.0
6,182,20.0,145.0,23.0,185.0
7,299,4.0,117.0,117.0,40.0
7,224,16.0,224.0,19.0,374.0
6,36,20.0,349.0,61.0,372.0
1,242,21.0,333.0,79.0,60.0
7,192,10.0,294.0,65.0,324.0
6,200,17.0,60.0,30.0,39.0
7,21,23.0,164.0,32.0,233.0
3,146,5.0,175.0,52.0,171.0
2,316,6.0,330.0,124.0,388.0
6,188,20.0,232.0,66.0,350.0
7,325,15.0,297.0,26.0,333.0
3,129,11.0,57.0,78.0,134.0
5,244,7.0,176.0,113.0,282.0
4,290,5.0,165.0,119.0,258.0
2,109,8.0,330.0,51.0,156.0
7,283,22.0,211.0,79.0,126.0
4,261,14.0,378.0,113.0,319.0
3,322,9.0,334.0,60.0,149.0
6,277,6.0,54.0,56.0,21.0
7,113,13.0,134.0,123.0,317.0
4,292,8.0,96.0,50.0,338.0
6,179,9.0,283.0,78.0,334.0
3,231,12.0,294.0,28.0,198.0
1,143,16.0,135.0,46.0,123.0
5,144,6.0,347.0,79.0,286.0
7,54,8.0,110.0,119.0,39.0
2,214,14.0,14.0,51.0,46.0
4,113,22.0,313.0,75.0,136.0
1,321,18.0,212.0,98.0,367.0
4,340,17.0,91.0,49.0,22.0
7,37,22.0,248.0,45.0,278.0
1,34,7.0,374.0,36.0,284.0
6,66,6.0,307.0,72.0,223.0
5,317,19.0,203.0,38.0,83.0
1,235,12.0,44.0,25.0,63.0
6,87,18.0,28.0,67.0,169.0
5,244,21.0,291.0,46.0,299.0
4,178,4.0,44.0,90.0,58.0
4,193,12.0,393.0,108.0,105.0
2,320,5.0,70.0,42.0,109.0
6,163,19.0,154.0,52.0,195.0
6,117,10.0,304.0,28.0,33.0
6,48,21.0,187.0,123.0,282.0
2,102,17.0,344.0,98.0,149.0
5,179,7.0,68.0,56.0,312.0
5,237,21.0,363.0,102.0,246.0
1,257,18.0,250.0,49.0,225.0
7,43,9.0,352.0,18.0,335.0
3,169,21.0,399.0,123.0,158.0
7,215,8.0,386.0,64.0,63.0
1,182,14.0,74.0,62.0,83.0
1,163,16.0,186.0,117.0,267.0
5,125,13.0,32.0,50.0,120.0
2,230,12.0,349.0,69.0,33.0
3,158,8.0,110.0,75.0,330.0
5,141,19.0,37.0,99.0,165.0
5,50,19.0,265.0,22.0,233.0
2,394,17.0,245.0,72.0,21.0
3,292,12.0,22.0,31.0,52.0
2,332,5.0,146.0,115.0,169.0
4,335,12.0,319.0,101.0,141.0
5,147,4.0,118.0,119.0,166.0
2,39,11.0,74.0,94.0,227.0
2,282,13.0,53.0,26.0,190.0
4,120,17.0,174.0,87.0,77.0
2,105,20.0,147.0,64.0,225.0
7,10,14.0,237.0,41.0,379.0
3,280,4.0,16.0,120.0,63.0
4,378,14.0,234.0,36.0,399.0
1,171,12.0,68.0,53.0,95.0
5,225,15.0,371.0,89.0,232.0
3,348,13.0,348.0,123.0,218.0
6,213,18.0,330.0,127.0,342.0
7,160,18.0,183.0,65.0,360.0
2,380,18.0,70.0,79.0,341.0
1,16,6.0,15.0,26.0,98.0
3,92,22.0,68.0,58.0,345.0
6,340,5.0,116.0,81.0,256.0
6,388,20.0,93.0,23.0,371.0
1,227,8.0,45.0,101.0,146.0
1,15,13.0,180.0,116.0,165.0
1,217,11.0,100.0,119.0,64.0
3,157,6.0,122.0,37.0,164.0
4,93,23.0,190.0,108.0,150.0
5,16,21.0,123.0,104.0,336.0
1,173,13.0,212.0,82.0,126.0
4,52,4.0,287.0,56.0,398.0
7,308,7.0,265.0,41.0,142.0
7,173,6.0,291.0,38.0,93.0
3,86,22.0,118.0,30.0,118.0
6,82,10.0,336.0,38.0,78.0
6,146,19.0,121.0,110.0,190.0
2,196,10.0,333.0,66.0,312.0
1,12,11.0,198.0,53.0,248.0
5,142,7.0,33.0,42.0,194.0
1,357,5.0,190.0,127.0,56.0
5,118,12.0,258.0,74.0,264.0
1,149,11.0,112.0,24.0,148.0
7,45,9.0,326.0,40.0,366.0
6,371,23.0,393.0,78.0,60.0
1,118,7.0,341.0,126.0,387.0
5,96,12.0,352.0,54.0,135.0
4,54,8.0,121.0,28.0,271.0
2,171,7.0,25.0,99.0,254.0
7,255,11.0,281.0,18.0,72.0
5,304,13.0,41.0,64.0,377.0
5,291,9.0,330.0,79.0,346.0
1,16,7.0,392.0,115.0,361.0
4,34,20.0,260.0,98.0,381.0
6,82,12.0,82.0,21.0,177.0
3,215,18.0,192.0,98.0,292.0
2,393,6.0,323.0,95.0,22.0
6,213,19.0,52.0,127.0,28.0
4,229,13.0,157.0,81.0,56.0
2,342,17.0,384.0,54.0,298.0
3,191,22.0,337.0,28.0,191.0
6,49,4.0,21.0,22.0,23.0
3,71,8.0,149.0,102.0,137.0
3,244,20.0,106.0,77.0,211.0
2,265,8.0,343.0,56.0,91.0
1,357,8.0,385.0,18.0,107.0
5,201,4.0,59.0,17.0,289.0
4,68,23.0,289.0,89.0,31.0
7,392,21.0,211.0,41.0,304.0
2,254,8.0,327.0,114.0,331.0
2,278,23.0,228.0,45.0,332.0
6,147,20.0,80.0,21.0,292.0
1,11,18.0,29.0,25.0,361.0
2,155,5.0,74.0,63.0,109.0
6,175,22.0,275.0,68.0,57.0
7,83,16.0,378.0,36.0,287.0
1,266,22.0,147.0,115.0,34.0
5,31,17.0,297.0,51.0,246.0
6,105,20.0,379.0,21.0,175.0
3,14,21.0,253.0,100.0,376.0
5,267,12.0,257.0,30.0,102.0
2,374,12.0,221.0,124.0,48.0
5,95,20.0,160.0,63.0,305.0
6,123,18.0,56.0,90.0,327.0
1,192,4.0,25.0,125.0,188.0
5,134,21.0,313.0,21.0,378.0
7,180,13.0,47.0,75.0,362.0
3,148,17.0,367.0,100.0,67.0
6,37,4.0,100.0,122.0,197.0
5,158,14.0,344.0,117.0,177.0
7,68,14.0,194.0,51.0,261.0
4,223,16.0,223.0,107.0,159.0
2,218,10.0,372.0,93.0,251.0
5,151,7.0,216.0,16.0,47.0
2,121,18.0,92.0,75.0,321.0
3,277,6.0,78.0,124.0,311.0
6,231,13.0,162.0,73.0,345.0
2,331,23.0,162.0,112.0,326.0
5,239,20.0,322.0,50.0,127.0
4,38,16.0,55.0,101.0,294.0
4,153,20.0,113.0,126.0,96.0
4,243,4.0,218.0,100.0,143.0
2,80,14.0,131.0,123.0,103.0
4,299,22.0,391.0,88.0,37.0
3,59,11.0,146.0,26.0,176.0
6,61,18.0,28.0,28.0,102.0
5,69,6.0,184.0,63.0,214.0
5,110,13.0,363.0,103.0,80.0
7,175,19.0,254.0,32.0,34.0
7,392,20.0,318.0,18.0,291.0
4,352,4.0,71.0,44.0,156.0
1,256,4.0,95.0,81.0,280.0
7,193,19.0,373.0,61.0,66.0
7,22,6.0,190.0,126.0,369.0
1,49,19.0,233.0,72.0,182.0
4,228,13.0,332.0,60.0,29.0
5,342,7.0,381.0,46.0,326.0
4,258,12.0,323.0,94.0,145.0
6,374,23.0,364.0,116.0,327.0
1,86,9.0,224.0,54.0,323.0
7,141,6.0,73.0,101.0,341.0
4,81,21.0,380.0,26.0,25.0
5,209,20.0,71.0,23.0,68.0
3,396,17.0,365.0,72.0,395.0
7,199,7.0,288.0,59.0,216.0
4,136,8.0,213.0,82.0,70.0
1,263,17.0,241.0,16.0,165.0
5,392,9.0,36.0,118.0,216.0
1,394,23.0,308.0,85.0,349.0
7,282,6.0,152.0,75.0,311.0
2,183,20.0,196.0,65.0,399.0
2,278,6.0,217.0,44.0,113.0
7,198,5.0,70.0,23.0,191.0
6,278,15.0,397.0,76.0,70.0
3,103,17.0,297.0,31.0,278.0
7,189,21.0,84.0,36.0,313.0
7,53,13.0,348.0,94.0,244.0
1,280,4.0,336.0,25.0,34.0
4,81,4.0,68.0,83.0,38.0
3,277,14.0,373.0,58.0,57.0
1,199,10.0,54.0,84.0,324.0
3,353,18.0,164.0,57.0,175.0
2,113,12.0,188.0,26.0,164.0
3,282,20.0,232.0,36.0,142.0
7,380,11.0,104.0,104.0,191.0
4,223,17.0,389.0,19.0,152.0
2,114,10.0,128.0,53.0,165.0
6,195,15.0,282.0,81.0,35.0
4,293,11.0,245.0,55.0,159.0
4,384,20.0,134.0,55.0,218.0
6,299,5.0,384.0,61.0,244.0
2,291,14.0,311.0,79.0,20.0
4,369,5.0,287.0,30.0,396.0
2,332,16.0,185.0,52.0,305.0
2,122,21.0,115.0,71.0,369.0
2,360,18.0,328.0,26.0,201.0
1,75,19.0,341.0,25.0,37.0
5,349,15.0,220.0,41.0,13.0
3,100,6.0,27.0,111.0,201.0
3,251,19.0,304.0,117.0,137.0
1,212,7.0,354.0,125.0,364.0
3,82,9.0,129.0,110.0,322.0
4,99,5.0,105.0,75.0,279.0
7,193,11.0,194.0,40.0,169.0
7,256,15.0,324.0,107.0,231.0
4,287,7.0,54.0,82.0,246.0
6,282,11.0,324.0,21.0,41.0
1,346,10.0,105.0,57.0,214.0
6,271,21.0,247.0,39.0,337.0
7,152,19.0,346.0,31.0,11.0
5,29,11.0,125.0,97.0,295.0
6,68,23.0,322.0,89.0,62.0
6,393,6.0,107.0,67.0,191.0
6,377,20.0,230.0,26.0,180.0
7,305,11.0,65.0,21.0,111.0
3,229,8.0,319.0,64.0,124.0
7,168,11.0,236.0,21.0,193.0
3,295,20.0,173.0,117.0,47.0
3,160,7.0,197.0,73.0,317.0
5,131,18.0,114.0,16.0,219.0
5,102,15.0,184.0,63.0,217.0
7,297,19.0,377.0,19.0,146.0
2,280,20.0,223.0,126.0,193.0
4,121,4.0,303.0,82.0,127.0
7,260,23.0,311.0,39.0,204.0
4,279,8.0,122.0,65.0,141.0
1,122,8.0,246.0,45.0,387.0
3,235,22.0,276.0,30.0,375.0
2,130,11.0,120.0,33.0,236.0
2,63,20.0,175.0,101.0,160.0
3,281,6.0,17.0,25.0,189.0
1,196,20.0,150.0,68.0,46.0
2,197,6.0,23.0,74.0,11.0
3,88,16.0,254.0,80.0,197.0
6,85,6.0,15.0,92.0,390.0
6,80,8.0,67.0,69.0,387.0
1,328,20.0,226.0,109.0,112.0
2,365,21.0,397.0,46.0,354.0
6,284,20.0,23.0,16.0,258.0
6,189,15.0,28.0,78.0,344.0
7,47,14.0,346.0,49.0,312.0
2,14,11.0,326.0,50.0,109.0
2,77,21.0,364.0,50.0,53.0
3,393,19.0,397.0,32.0,372.0
7,297,16.0,296.0,47.0,323.0
2,381,6.0,145.0,60.0,361.0
7,138,12.0,273.0,86.0,373.0
3,13,13.0,155.0,121.0,325.0
7,376,21.0,382.0,120.0,288.0
2,104,10.0,107.0,89.0,134.0
1,357,11.0,105.0,62.0,56.0
5,21,12.0,211.0,127.0,34.0
6,314,6.0,148.0,89.0,323.0
1,307,14.0,105.0,25.0,20.0
5,194,7.0,346.0,100.0,223.0
4,50,12.0,398.0,60.0,218.0
7,87,9.0,31.0,79.0,73.0
1,173,4.0,159.0,122.0,248.0
6,107,23.0,224.0,92.0,255.0
