X_时间_小时,Y_到达任务数_个,Y_到达GPU需求_等效GPU
256,13,277
257,19,570
258,31,884
259,25,771
260,29,858
261,24,512
262,21,494
263,24,616
264,17,342
265,23,716
266,27,1016
267,15,516
268,21,564
269,18,602
270,26,997
271,22,992
272,19,354
273,23,705
274,23,263
275,35,1127
276,24,503
277,20,514
278,22,751
279,18,671
280,18,547
281,22,630
282,15,601
283,21,541
284,27,559
285,16,305
286,21,427
287,20,483
288,24,713
289,22,644
290,29,995
291,16,278
292,24,876
293,15,656
294,18,643
295,14,387
296,9,167
297,20,475
298,17,517
299,17,721
300,21,469
301,28,791
302,12,418
303,23,589
304,28,821
305,23,789
306,16,447
307,22,537
308,22,875
309,11,355
310,14,291
311,20,572
312,16,494
313,23,662
314,26,1313
315,19,793
316,17,608
317,21,742
318,27,1095
319,19,532
320,20,659
321,26,708
322,19,637
323,20,527
324,28,515
325,28,804
326,17,588
327,22,913
328,23,841
329,23,734
330,21,525
331,17,593
332,17,228
333,20,666
334,25,648
335,22,546
336,20,340
337,22,560
338,23,708
339,20,373
340,21,177
341,22,648
342,24,1138
343,11,404
344,13,547
345,17,543
346,21,870
347,30,933
348,28,741
349,23,569
350,17,584
351,28,754
352,13,337
353,24,656
354,22,503
355,22,517
356,24,866
357,19,453
358,19,548
359,19,557
360,17,666
361,24,543
362,20,659
363,20,505
364,22,625
365,21,687
366,17,668
367,21,525
368,19,458
369,34,832
370,23,682
371,17,702
372,15,429
373,20,431
374,17,330
375,12,567
376,21,288
377,21,486
378,18,381
379,13,591
380,28,947
381,27,547
382,27,1095
383,20,802
384,19,432
385,16,439
386,13,413
387,21,620
388,19,700
389,16,494
390,17,567
391,25,749
392,24,695
393,25,900
394,16,761
395,17,440
396,19,379
397,19,348
398,21,542
399,19,561
400,25,926
401,19,491
402,20,715
403,19,682
404,14,373
405,21,710
406,22,716
407,20,442
408,23,827
409,23,713
410,22,747
411,30,828
412,15,348
413,20,865
414,27,990
415,20,361
416,18,453
417,20,559
418,22,486
419,29,614
420,22,511
421,25,606
422,26,733
423,24,705
424,22,806
425,23,639
426,17,489
427,23,501
428,23,583
429,24,840
430,26,776
431,14,514
432,23,783
433,21,575
434,25,825
435,28,844
436,22,419
437,21,753
438,24,653
439,17,481
440,18,658
441,27,888
442,26,711
443,15,329
444,23,529
445,22,1066
446,16,418
447,31,941
448,21,413
449,21,690
450,21,324
451,21,524
452,16,524
453,23,907
454,25,557
455,23,640
456,20,451
457,13,319
458,17,194
459,16,579
460,27,654
461,21,330
462,19,712
463,16,198
464,17,670
465,18,611
466,16,466
467,20,648
468,18,430
469,29,787
470,19,425
471,23,846
472,20,548
473,19,355
474,28,882
475,16,504
476,23,702
477,24,667
478,19,230
479,18,390
480,31,833
481,29,849
482,22,710
483,18,433
484,29,1048
485,14,308
486,18,672
487,13,552
488,23,388
489,17,515
490,19,738
491,21,494
492,22,540
493,22,629
494,23,550
495,23,628
496,14,387
497,21,576
498,10,290
499,20,549
500,19,554
501,16,611
502,12,248
503,29,942
504,20,390
505,25,891
506,17,677
507,17,835
508,18,607
509,23,619
510,21,952
511,17,424
512,23,799
513,15,293
514,17,323
515,19,545
516,23,449
517,23,661
518,18,643
519,25,741
520,25,578
521,20,653
522,26,818
523,20,342
524,14,308
525,21,670
526,24,681
527,29,735
528,13,437
529,19,737
530,20,522
531,26,1161
532,25,531
533,17,408
534,28,674
535,27,714
536,15,495
537,22,534
538,14,434
539,25,951
540,19,492
541,20,565
542,21,360
543,32,1277
544,16,613
545,25,707
546,19,495
547,21,677
548,24,686
549,19,614
550,23,556
551,23,539
552,11,276
553,29,857
554,16,672
555,26,744
556,25,991
557,18,413
558,26,470
559,21,394
560,23,566
561,21,498
562,18,672
563,28,772
564,19,496
565,22,895
566,26,446
567,19,438
568,23,706
569,14,166
570,27,580
571,19,776
572,28,729
573,27,804
574,20,375
575,28,739
576,29,413
577,18,618
578,17,240
579,21,577
580,29,422
581,18,396
582,19,495
583,19,457
584,21,292
585,14,274
586,22,585
587,10,247
588,28,1040
589,11,518
590,18,441
591,20,412
592,19,576
593,20,566
594,21,578
595,24,653
596,28,976
597,23,520
598,19,554
599,15,467
600,28,833
601,17,755
602,18,423
603,29,994
604,22,773
605,27,948
606,19,601
607,16,432
608,32,800
609,21,487
610,25,929
611,24,770
612,21,778
613,19,682
614,24,619
615,17,421
616,20,481
617,16,407
618,24,841
619,21,412
620,18,457
621,26,642
622,19,875
623,22,623
624,23,815
625,19,685
626,18,397
627,24,935
628,23,544
629,16,464
630,23,616
631,25,795
632,18,567
633,36,992
634,21,1004
635,25,770
636,16,303
637,25,720
638,16,441
639,22,576
640,25,720
641,21,521
642,29,622
643,19,356
644,14,360
645,22,714
646,20,456
647,16,449
648,22,593
649,16,564
650,19,333
651,20,742
652,25,809
653,21,379
654,24,792
655,26,861
656,26,664
657,10,354
658,14,425
659,21,763
660,21,848
661,22,528
662,24,447
663,25,612
664,16,455
665,16,579
666,21,468
667,21,517
668,15,361
669,21,703
670,16,318
671,19,927
672,25,729
673,17,501
674,26,919
675,21,500
676,17,518
677,17,349
678,24,622
679,17,814
680,16,506
681,25,987
682,13,583
683,27,865
684,23,622
685,18,528
686,21,815
687,25,691
688,14,581
689,26,666
690,23,458
691,22,600
692,18,429
693,16,638
694,23,757
695,20,777
696,16,528
697,19,623
698,32,1027
699,17,572
700,17,249
701,15,584
702,12,456
703,20,576
704,16,304
705,22,704
706,25,757
707,18,613
708,26,1159
709,19,478
710,21,436
711,20,317
712,17,640
713,26,1116
714,24,587
715,17,430
716,25,750
717,24,597
718,15,453
719,23,918
720,18,829
721,25,925
722,15,256
723,22,344
724,28,691
725,23,651
726,19,447
727,26,676
728,24,759
729,22,733
730,19,471
731,20,519
732,23,593
733,16,436
734,14,301
735,17,365
736,21,639
737,18,935
738,27,868
739,22,822
740,20,477
741,26,962
742,20,609
743,16,410
744,16,702
745,17,484
746,29,667
747,15,400
748,21,771
749,21,769
750,18,420
751,19,612
752,23,679
753,28,845
754,12,408
755,18,686
756,24,588
757,22,407
758,21,542
759,17,389
760,28,773
761,19,427
762,20,595
763,31,682
764,21,707
765,23,826
766,21,489
767,20,600
768,20,434
769,21,770
770,21,535
771,25,437
772,19,407
773,24,615
774,22,708
775,14,413
776,19,374
777,26,488
778,28,797
779,18,401
780,20,686
781,19,388
782,23,635
783,22,735
784,15,489
785,9,288
786,19,590
787,26,993
788,23,519
789,20,748
790,25,545
791,20,604
792,22,643
793,26,757
794,17,617
795,18,432
796,21,545
797,26,531
798,15,601
799,24,558
800,14,471
801,21,540
802,19,498
803,21,478
804,25,646
805,21,526
806,19,482
807,17,532
808,17,481
809,13,259
810,23,591
811,14,468
812,27,676
813,17,771
814,18,371
815,22,630
816,22,548
817,20,404
818,24,706
819,28,1143
820,16,629
821,13,434
822,24,711
823,21,547
824,23,666
825,13,255
826,19,663
827,24,534
828,24,424
829,14,586
830,27,840
831,22,646
832,18,596
833,16,424
834,19,464
835,21,501
836,21,807
837,23,569
838,21,766
839,23,618
840,14,314
841,17,658
842,23,570
843,24,845
844,23,721
845,11,175
846,17,417
847,17,689
848,23,640
849,18,644
850,24,651
851,24,477
852,16,529
853,23,561
854,20,455
855,14,502
856,21,808
857,15,316
858,26,525
859,27,876
860,17,441
861,27,1172
862,19,892
863,23,530
864,18,177
865,23,511
866,15,243
867,22,682
868,22,800
869,20,852
870,22,825
871,16,688
872,17,555
873,22,662
874,16,331
875,19,388
876,19,389
877,19,908
878,14,215
879,25,1007
880,16,595
881,21,489
882,27,781
883,22,593
884,12,511
885,18,576
886,25,375
887,30,694
888,28,394
889,26,877
890,14,598
891,29,697
892,35,767
893,19,571
894,21,539
895,15,545
896,27,748
897,24,563
898,15,419
899,15,572
900,17,540
901,16,288
902,28,947
903,24,372
904,15,420
905,16,428
906,22,675
907,14,414
908,16,373
909,23,1148
910,24,705
911,27,1149
912,28,609
913,26,998
914,24,686
915,20,331
916,20,759
917,17,578
918,21,562
919,20,568
920,17,659
921,18,704
922,18,327
923,16,755
924,15,374
925,17,658
926,14,270
927,17,514
928,24,838
929,22,356
930,20,556
931,24,579
932,19,628
933,28,836
934,19,458
935,18,555
936,24,895
937,22,282
938,17,488
939,19,381
940,21,877
941,21,693
942,22,788
943,21,1024
944,21,831
945,17,362
946,20,548
947,23,907
948,19,642
949,22,364
950,27,593
951,18,736
952,31,986
953,19,667
954,17,510
955,19,445
956,16,240
957,21,595
958,17,462
959,21,537
960,16,652
961,20,547
962,26,680
963,27,615
964,16,419
965,26,593
966,22,650
967,30,843
968,22,729
969,19,810
970,16,571
971,16,493
972,18,594
973,27,519
974,9,74
975,19,249
976,12,316
977,20,672
978,17,462
979,20,608
980,24,1023
981,20,317
982,18,382
983,18,625
984,22,398
985,19,602
986,21,519
987,24,572
988,11,192
989,13,571
990,19,803
991,30,1109
992,32,980
993,15,529
994,20,290
995,14,215
996,20,591
997,16,246
998,28,739
999,21,731
1000,26,588
1001,33,756
1002,24,1012
1003,16,432
1004,16,490
1005,22,800
1006,29,701
1007,23,436
1008,19,512
1009,22,742
1010,27,822
1011,21,742
1012,22,654
1013,22,542
1014,19,718
1015,13,335
1016,32,825
1017,23,523
1018,25,585
1019,24,725
1020,20,365
1021,17,466
1022,25,597
1023,28,578
1024,30,1011
1025,21,986
1026,22,1042
1027,19,582
1028,23,503
1029,21,460
1030,16,377
1031,18,436
1032,26,956
1033,20,593
1034,19,657
1035,25,712
1036,18,722
1037,9,310
1038,13,116
1039,16,489
1040,13,627
1041,23,610
1042,17,496
1043,20,569
1044,15,646
1045,27,670
1046,29,650
1047,23,831
1048,21,425
1049,16,438
1050,16,686
1051,15,464
1052,19,325
1053,27,1040
1054,21,681
1055,15,545
1056,21,686
1057,33,655
1058,18,374
1059,25,736
1060,15,468
1061,19,508
1062,12,292
1063,28,779
1064,13,375
1065,25,489
1066,25,551
1067,21,474
1068,22,555
1069,29,675
1070,14,389
1071,27,786
1072,29,978
1073,18,380
1074,21,583
1075,23,505
1076,27,983
1077,15,519
1078,17,525
1079,21,691
1080,20,369
1081,15,464
1082,17,363
1083,23,615
1084,18,558
1085,17,497
1086,26,898
1087,15,368
1088,19,661
1089,19,848
1090,18,683
1091,19,516
1092,17,634
1093,19,747
1094,20,537
1095,17,617
1096,27,680
1097,19,203
1098,21,528
1099,21,757
1100,25,744
1101,21,761
1102,16,373
1103,28,986
1104,19,636
1105,15,282
1106,17,613
1107,27,894
1108,25,833
1109,18,491
1110,18,479
1111,23,644
1112,23,882
1113,20,709
1114,26,807
1115,19,383
1116,31,896
1117,15,524
1118,16,615
1119,32,1262
1120,15,442
1121,27,846
1122,21,459
1123,22,480
1124,22,563
1125,12,403
1126,14,418
1127,19,579
1128,24,686
1129,9,96
1130,21,603
1131,18,483
1132,17,417
1133,16,331
1134,19,554
1135,20,436
1136,18,533
1137,19,759
1138,22,503
1139,30,1032
1140,25,719
1141,19,559
1142,20,507
1143,19,462
1144,25,923
1145,18,578
1146,21,712
1147,17,595
1148,17,558
1149,14,571
1150,20,663
1151,15,501
1152,19,379
1153,24,810
1154,30,834
1155,17,392
1156,18,521
1157,19,405
1158,21,268
1159,23,956
1160,20,420
1161,17,494
1162,20,823
1163,15,450
1164,16,583
1165,26,518
1166,19,254
1167,29,654
1168,21,601
1169,21,341
1170,18,549
1171,10,406
1172,12,199
1173,23,707
1174,24,819
1175,23,577
1176,20,606
1177,16,597
1178,19,764
1179,26,908
1180,13,431
1181,24,658
1182,18,630
1183,24,903
1184,17,530
1185,24,850
1186,17,539
1187,28,967
1188,20,409
1189,13,440
1190,26,661
1191,25,693
1192,21,734
1193,23,888
1194,17,350
1195,28,837
1196,16,582
1197,21,584
1198,15,406
1199,17,427
1200,19,545
1201,25,747
1202,21,400
1203,22,957
1204,26,736
1205,17,297
1206,21,914
1207,17,257
1208,21,842
1209,18,510
1210,22,771
1211,28,1216
1212,17,563
1213,19,448
1214,13,394
1215,21,771
1216,23,501
1217,21,676
1218,21,695
1219,19,560
1220,13,656
1221,20,537
1222,34,1073
1223,17,843
1224,22,1051
1225,27,740
1226,22,468
1227,24,546
1228,24,873
1229,30,618
1230,19,544
1231,30,1077
1232,22,879
1233,23,796
1234,22,705
1235,27,1015
1236,20,403
1237,18,362
1238,17,476
1239,29,1059
1240,26,789
1241,17,583
1242,24,747
1243,17,431
1244,18,790
1245,30,1022
1246,15,674
1247,22,617
1248,18,594
1249,15,259
1250,20,708
1251,24,651
1252,31,1164
1253,22,739
1254,19,751
1255,17,493
1256,15,539
1257,13,359
1258,19,558
1259,28,773
1260,12,254
1261,22,737
1262,22,509
1263,21,680
1264,14,509
1265,17,616
1266,23,652
1267,24,653
1268,22,557
1269,17,298
1270,26,860
1271,24,921
1272,16,242
1273,22,633
1274,16,504
1275,16,353
1276,22,645
1277,23,628
1278,25,818
1279,17,677
1280,12,351
1281,24,932
1282,29,1014
1283,21,601
1284,25,757
1285,12,614
1286,15,340
1287,17,578
1288,24,644
1289,20,392
1290,18,439
1291,23,508
1292,16,211
1293,15,549
1294,25,260
1295,23,743
1296,20,416
1297,26,463
1298,28,1211
1299,29,668
1300,18,685
1301,20,369
1302,19,535
1303,28,894
1304,21,729
1305,13,395
1306,23,551
1307,23,714
1308,26,587
1309,25,527
1310,21,616
1311,28,914
1312,30,897
1313,18,585
1314,23,921
1315,27,546
1316,15,366
1317,32,1188
1318,25,502
1319,28,850
1320,14,298
1321,21,740
1322,19,482
1323,18,536
1324,24,817
1325,24,395
1326,15,399
1327,19,633
1328,22,462
1329,19,767
1330,18,561
1331,17,833
1332,22,741
1333,14,547
1334,18,625
1335,26,391
1336,18,274
1337,23,511
1338,20,558
1339,19,647
1340,28,822
1341,18,522
1342,27,633
1343,17,348
1344,24,914
1345,18,584
1346,15,722
1347,14,380
1348,19,481
1349,14,397
1350,23,923
1351,16,390
1352,21,437
1353,26,703
1354,22,737
1355,22,664
1356,26,862
1357,26,899
1358,18,535
1359,21,758
1360,21,609
1361,18,507
1362,17,463
1363,25,540
1364,18,617
1365,19,512
1366,26,708
1367,16,648
1368,21,671
1369,25,663
1370,19,774
1371,25,1120
1372,22,593
1373,15,488
1374,21,756
1375,17,753
1376,19,475
1377,28,846
1378,21,614
1379,31,688
1380,12,296
1381,31,605
1382,22,574
1383,18,786
1384,28,1235
1385,18,520
1386,19,557
1387,18,531
1388,23,339
1389,18,505
1390,21,727
1391,15,437
1392,20,624
1393,27,653
1394,17,301
1395,20,643
1396,16,481
1397,17,593
1398,24,597
1399,23,792
1400,11,445
1401,18,435
1402,19,419
1403,20,602
1404,21,705
1405,16,486
1406,24,736
1407,14,412
1408,24,227
1409,20,645
1410,25,574
1411,22,461
1412,22,752
1413,18,464
1414,27,850
1415,14,325
1416,20,449
1417,12,438
1418,28,814
1419,20,444
1420,17,465
1421,22,526
1422,18,335
1423,23,737
1424,21,517
1425,16,684
1426,20,558
1427,18,547
1428,17,639
1429,18,304
1430,16,392
1431,19,589
1432,17,552
1433,21,749
1434,17,233
1435,11,275
1436,16,612
1437,18,407
1438,20,568
1439,17,503
1440,19,542
1441,19,587
1442,14,501
1443,17,646
1444,27,756
1445,18,906
1446,23,523
1447,12,165
1448,16,336
1449,29,916
1450,14,491
1451,15,375
1452,20,533
1453,22,411
1454,21,718
1455,18,356
1456,20,556
1457,22,743
1458,22,764
1459,22,258
1460,23,481
1461,16,389
1462,19,710
1463,16,890
1464,19,571
1465,20,423
1466,27,703
1467,22,909
1468,19,911
1469,24,667
1470,19,724
1471,18,610
1472,26,706
1473,16,643
1474,25,777
1475,24,462
1476,35,738
1477,29,678
1478,12,268
1479,20,517
1480,19,312
1481,24,761
1482,20,665
1483,25,628
1484,23,545
1485,19,299
1486,17,503
1487,23,648
1488,23,750
1489,23,778
1490,29,615
1491,19,506
1492,23,1036
1493,22,698
1494,16,328
1495,23,573
1496,21,949
1497,18,859
1498,21,734
1499,19,629
1500,21,544
1501,14,312
1502,16,503
1503,18,568
1504,14,594
1505,22,593
1506,18,398
1507,26,826
1508,23,863
1509,25,719
1510,13,536
1511,25,1300
1512,18,822
1513,15,350
1514,21,430
1515,24,663
1516,15,471
1517,24,701
1518,18,515
1519,30,1029
1520,14,434
1521,19,414
1522,19,864
1523,14,353
1524,20,696
1525,18,276
1526,15,586
1527,26,702
1528,34,1262
1529,19,367
1530,27,578
1531,20,661
1532,25,880
1533,19,337
1534,21,430
1535,16,237
1536,20,632
1537,24,999
1538,13,450
1539,26,548
1540,21,597
1541,27,1042
1542,19,461
1543,24,659
1544,25,716
1545,25,421
1546,26,1255
1547,26,550
1548,17,208
1549,11,372
1550,24,552
1551,21,493
1552,15,432
1553,17,501
1554,12,264
1555,28,709
1556,27,1083
1557,24,926
1558,23,651
1559,24,652
1560,19,680
1561,27,872
1562,27,820
1563,16,385
1564,22,492
1565,15,515
1566,23,444
1567,21,524
1568,17,538
1569,20,670
1570,19,627
1571,20,327
1572,26,483
1573,25,616
1574,27,1236
1575,17,247
1576,25,557
1577,18,385
1578,28,687
1579,21,541
1580,17,562
1581,16,536
1582,27,956
1583,19,572
1584,19,564
1585,20,597
1586,23,742
1587,33,594
1588,23,571
1589,16,356
1590,21,616
1591,20,582
1592,18,679
1593,28,733
1594,21,1035
1595,21,872
1596,25,928
1597,26,908
1598,22,960
1599,27,1234
1600,22,677
1601,19,239
1602,23,462
1603,16,302
1604,19,605
1605,20,813
1606,19,538
1607,21,506
1608,20,745
1609,31,808
1610,19,729
1611,27,687
1612,14,545
1613,20,799
1614,19,733
1615,18,643
1616,25,576
1617,24,941
1618,24,690
1619,17,629
1620,19,218
1621,21,265
1622,21,611
1623,25,343
1624,21,610
1625,26,454
1626,22,515
1627,21,542
1628,22,936
1629,27,915
1630,26,664
1631,21,883
1632,21,770
1633,11,314
1634,25,804
1635,23,1025
1636,13,312
1637,21,416
1638,18,278
1639,35,1152
1640,16,379
1641,25,823
1642,17,428
1643,18,251
1644,32,848
1645,25,835
1646,22,781
1647,20,532
1648,18,464
1649,18,521
1650,26,794
1651,23,761
1652,25,698
1653,17,567
1654,22,798
1655,29,864
1656,26,732
1657,26,1140
1658,20,507
1659,23,725
1660,24,850
1661,17,256
1662,20,526
1663,24,638
1664,26,841
1665,21,429
1666,13,357
1667,30,938
1668,22,393
1669,22,741
1670,22,551
1671,27,744
1672,17,606
1673,27,699
1674,19,473
1675,14,289
1676,21,684
1677,18,402
1678,22,748
1679,21,416
1680,18,465
1681,19,572
1682,26,639
1683,28,755
1684,27,875
1685,16,634
1686,19,609
1687,20,713
1688,17,839
1689,19,518
1690,24,569
1691,28,1202
1692,29,1020
1693,15,376
1694,23,686
1695,26,931
1696,22,507
1697,25,731
1698,19,755
1699,19,397
1700,21,353
1701,24,629
1702,21,681
1703,19,515
1704,17,327
1705,19,708
1706,23,545
1707,23,937
1708,14,414
1709,18,831
1710,27,714
1711,18,455
1712,18,694
1713,20,820
1714,24,694
1715,25,908
1716,20,405
1717,28,698
1718,22,505
1719,21,579
1720,21,318
1721,17,407
1722,21,985
1723,17,844
1724,23,395
1725,17,630
1726,13,379
1727,24,964
1728,23,659
1729,18,359
1730,23,769
1731,18,647
1732,22,705
1733,25,767
1734,23,454
1735,22,394
1736,24,681
1737,30,1280
1738,17,512
1739,15,250
1740,16,643
1741,18,593
1742,12,457
1743,25,587
1744,18,547
1745,17,555
1746,24,703
1747,22,802
1748,15,453
1749,24,761
1750,17,524
1751,12,636
1752,21,539
1753,19,434
1754,20,541
1755,26,690
1756,19,769
1757,20,547
1758,29,1053
1759,20,555
1760,18,342
1761,17,770
1762,8,122
1763,25,1017
1764,25,1109
1765,24,457
1766,21,472
1767,25,671
1768,20,910
1769,23,549
1770,26,475
1771,25,790
1772,24,749
1773,13,203
1774,15,583
1775,27,952
1776,32,1018
1777,20,758
1778,24,592
1779,24,917
1780,21,613
1781,13,485
1782,25,952
1783,21,841
1784,17,428
1785,16,316
1786,21,652
1787,16,351
1788,18,637
1789,24,778
1790,14,417
1791,15,145
1792,29,939
1793,22,773
1794,19,510
1795,18,396
1796,22,540
1797,23,427
1798,35,725
1799,16,416
1800,24,694
1801,27,613
1802,24,648
1803,18,822
1804,17,309
1805,16,554
1806,16,403
1807,26,883
1808,19,593
1809,16,455
1810,21,639
1811,28,966
1812,29,620
1813,31,1270
1814,25,595
1815,16,144
1816,23,605
1817,29,769
1818,24,642
1819,17,804
1820,20,760
1821,31,1172
1822,25,879
1823,29,1038
1824,20,644
1825,18,343
1826,21,297
1827,20,532
1828,14,424
1829,21,772
1830,17,353
1831,17,563
1832,27,993
1833,21,697
1834,18,798
1835,19,454
1836,17,389
1837,18,558
1838,25,1254
1839,23,241
1840,17,323
1841,23,643
1842,20,656
1843,15,269
1844,21,549
1845,22,1011
1846,15,504
1847,21,604
1848,17,558
1849,28,889
1850,19,457
1851,34,873
1852,18,751
1853,19,591
1854,19,461
1855,23,479
1856,19,565
1857,25,555
1858,26,523
1859,28,733
1860,22,466
1861,21,526
1862,15,312
1863,23,518
1864,14,332
1865,18,570
1866,22,772
1867,20,591
1868,25,899
1869,24,802
1870,27,748
1871,20,388
1872,16,188
1873,16,739
1874,23,920
1875,21,659
1876,21,807
1877,23,692
1878,21,435
1879,18,638
1880,22,675
1881,14,210
1882,24,897
1883,15,706
1884,21,686
1885,16,450
1886,19,493
1887,19,423
1888,29,801
1889,24,647
1890,16,375
1891,26,548
1892,26,562
1893,14,453
1894,19,300
1895,18,300
1896,29,867
1897,18,571
1898,14,348
1899,15,389
1900,20,703
1901,23,506
1902,15,353
1903,30,562
1904,21,378
1905,17,478
1906,17,337
1907,18,319
1908,19,596
1909,23,891
1910,19,401
1911,19,695
1912,25,635
1913,17,369
1914,25,777
1915,19,463
1916,13,186
1917,25,811
1918,25,801
1919,18,741
1920,22,430
1921,19,785
1922,18,702
1923,20,692
1924,29,893
1925,19,640
1926,20,933
1927,18,612
1928,27,585
1929,19,691
1930,17,399
1931,17,569
1932,17,484
1933,16,549
1934,34,1051
1935,26,757
1936,11,328
1937,20,694
1938,16,292
1939,27,1286
1940,23,372
1941,23,616
1942,22,640
1943,23,574
1944,26,861
1945,21,658
1946,21,591
1947,11,144
1948,30,1135
1949,21,454
1950,20,437
1951,20,682
1952,28,842
1953,24,526
1954,16,601
1955,17,633
1956,21,517
1957,11,374
1958,26,340
1959,25,920
1960,21,686
1961,31,963
1962,19,943
1963,10,284
1964,17,751
1965,15,547
1966,23,753
1967,20,608
1968,23,786
1969,19,832
1970,16,408
1971,21,367
1972,13,440
1973,11,195
1974,20,915
1975,22,781
1976,22,560
1977,18,457
1978,21,842
1979,24,788
1980,23,670
1981,24,834
1982,20,564
1983,26,818
1984,23,810
1985,16,431
1986,19,452
1987,18,729
1988,21,489
1989,17,658
1990,27,514
1991,22,894
1992,20,550
1993,22,546
1994,23,677
1995,16,357
1996,22,336
1997,15,318
1998,21,564
1999,24,649
2000,19,435
2001,16,685
2002,19,440
2003,20,671
2004,18,632
2005,17,496
2006,19,658
2007,30,959
2008,20,710
2009,25,847
2010,27,1145
2011,31,816
2012,23,731
2013,32,1205
2014,23,772
2015,29,929
2016,15,551
2017,20,623
2018,21,925
2019,20,1018
2020,15,561
2021,23,1031
2022,15,308
2023,23,721
2024,27,828
2025,19,498
2026,17,625
2027,21,683
2028,27,880
2029,29,771
2030,20,356
2031,20,566
2032,20,357
2033,21,522
2034,20,478
2035,24,632
2036,13,246
2037,21,781
2038,19,838
2039,23,790
2040,23,822
2041,12,379
2042,14,241
2043,21,449
2044,21,415
2045,18,668
2046,30,987
2047,18,427
2048,25,731
2049,18,738
2050,27,371
2051,16,397
2052,22,764
2053,22,474
2054,15,165
2055,24,809
2056,28,792
2057,33,785
2058,18,504
2059,19,578
2060,19,583
2061,25,512
2062,19,460
2063,28,1090
2064,18,577
2065,19,672
2066,22,866
2067,19,561
2068,25,788
2069,17,422
2070,19,440
2071,16,326
2072,18,574
2073,18,548
2074,21,814
2075,14,297
2076,27,876
2077,28,593
2078,26,925
2079,24,481
2080,20,437
2081,22,995
2082,18,431
2083,26,682
2084,22,658
2085,14,394
2086,18,473
2087,24,712
2088,20,686
2089,19,944
2090,19,560
2091,22,669
2092,28,989
2093,24,706
2094,31,997
2095,26,753
2096,16,635
2097,22,922
2098,15,431
2099,27,622
2100,14,469
2101,14,443
2102,20,275
2103,18,426
2104,16,364
2105,20,477
2106,22,628
2107,14,404
2108,22,671
2109,24,544
2110,17,475
2111,22,760
2112,15,406
2113,15,281
2114,19,756
2115,15,554
2116,19,942
2117,25,1043
2118,17,654
2119,21,589
