Y_绘图序号_无量纲,X_开始时间_小时,X_结束时间_小时,类别_执行区域,类别_任务类型,类别_调度状态,标签_任务编号
186,2398,2400.6833333333334,RegionB,实时推理,到达即执行,30610
187,2399,2401.4666666666667,RegionB,批量推理,到达即执行,37062
188,2399,2403.75,RegionB,批量推理,到达即执行,38165
189,2399,2404.0833333333335,RegionB,批量推理,到达即执行,40966
190,2399,2401.1,RegionB,批量推理,到达即执行,43786
191,2399,2402.116666666667,RegionB,批量推理,到达即执行,49525
192,2399,2400.6833333333334,RegionB,实时推理,到达即执行,21400
193,2376,2377.25,RegionC,实时推理,到达即执行,17820
194,2376,2379.6833333333334,RegionC,实时推理,到达即执行,41926
195,2377,2380.633333333333,RegionC,AI训练,到达即执行,21384
196,2377,2378.4666666666667,RegionC,实时推理,到达即执行,47993
197,2378,2383.35,RegionC,AI训练,到达即执行,6507
198,2378,2380.6833333333334,RegionC,批量推理,到达即执行,45584
199,2379,2384.5666666666666,RegionC,批量推理,到达即执行,10622
200,2379,2380.4166666666665,RegionC,批量推理,到达即执行,31331
201,2380,2381.85,RegionC,批量推理,到达即执行,11383
202,2380,2385.4166666666665,RegionC,实时推理,到达即执行,24714
203,2380,2386.15,RegionC,实时推理,到达即执行,29758
204,2381,2383.366666666667,RegionC,AI训练,到达即执行,12181
205,2381,2383.3,RegionC,批量推理,到达即执行,22462
206,2381,2383.016666666667,RegionC,批量推理,到达即执行,35450
207,2381,2383.9333333333334,RegionC,实时推理,到达即执行,35202
208,2381,2384.35,RegionC,实时推理,到达即执行,39748
209,2381,2383.383333333333,RegionC,实时推理,到达即执行,41513
210,2382,2384.25,RegionC,AI训练,到达即执行,47419
211,2382,2385.9333333333334,RegionC,批量推理,到达即执行,11993
212,2382,2384.6,RegionC,批量推理,到达即执行,39924
213,2382,2385.45,RegionC,实时推理,到达即执行,4590
214,2382,2383.383333333333,RegionC,实时推理,到达即执行,11877
215,2382,2385.5,RegionC,实时推理,到达即执行,42642
216,2383,2387.2,RegionC,实时推理,到达即执行,45061
217,2384,2387.133333333333,RegionC,批量推理,到达即执行,29402
218,2384,2385.8,RegionC,实时推理,到达即执行,22890
219,2384,2387.0833333333335,RegionC,实时推理,到达即执行,32107
220,2385,2387.65,RegionC,批量推理,到达即执行,41891
221,2385,2391.366666666667,RegionC,批量推理,到达即执行,45742
222,2385,2386.516666666667,RegionC,实时推理,到达即执行,9936
223,2386,2389.0666666666666,RegionC,批量推理,到达即执行,20632
224,2386,2388.866666666667,RegionC,实时推理,到达即执行,3455
225,2386,2392.0833333333335,RegionC,实时推理,到达即执行,40594
226,2386,2390.266666666667,RegionC,实时推理,到达即执行,48007
227,2387,2390.1,RegionC,AI训练,到达即执行,38944
228,2387,2389.35,RegionC,实时推理,到达即执行,9168
229,2387,2389.366666666667,RegionC,实时推理,到达即执行,21428
230,2387,2392.55,RegionC,实时推理,到达即执行,23146
231,2387,2389.05,RegionC,实时推理,到达即执行,28952
232,2387,2390.4333333333334,RegionC,实时推理,到达即执行,35544
233,2388,2393.0666666666666,RegionC,批量推理,到达即执行,18061
234,2388,2394.4166666666665,RegionC,批量推理,到达即执行,36729
235,2389,2389.6,RegionC,批量推理,到达即执行,17044
236,2389,2391.366666666667,RegionC,实时推理,到达即执行,10407
237,2390,2395.95,RegionC,实时推理,到达即执行,4354
238,2390,2394.883333333333,RegionC,实时推理,到达即执行,37033
239,2391,2394.0,RegionC,实时推理,到达即执行,4943
240,2391,2391.75,RegionC,实时推理,到达即执行,22706
241,2391,2396.0833333333335,RegionC,实时推理,到达即执行,45363
242,2392,2397.5833333333335,RegionC,AI训练,到达即执行,1371
243,2392,2393.85,RegionC,批量推理,到达即执行,28923
244,2392,2396.266666666667,RegionC,实时推理,到达即执行,2412
245,2393,2395.4666666666667,RegionC,批量推理,到达即执行,43531
246,2393,2398.6666666666665,RegionC,实时推理,到达即执行,44602
247,2395,2396.0333333333333,RegionC,批量推理,到达即执行,8294
248,2395,2397.9166666666665,RegionC,实时推理,到达即执行,12481
249,2396,2396.45,RegionC,批量推理,到达即执行,7874
250,2396,2397.15,RegionC,批量推理,到达即执行,10504
251,2396,2397.3333333333335,RegionC,实时推理,到达即执行,28656
252,2396,2401.25,RegionC,实时推理,到达即执行,49227
253,2397,2399.8333333333335,RegionC,批量推理,到达即执行,46818
254,2398,2403.8333333333335,RegionC,AI训练,到达即执行,2473
255,2398,2402.35,RegionC,实时推理,到达即执行,5272
256,2398,2398.55,RegionC,实时推理,到达即执行,17052
257,2398,2401.3166666666666,RegionC,实时推理,到达即执行,19172
258,2399,2402.9166666666665,RegionC,AI训练,到达即执行,42578
259,2399,2404.7,RegionC,批量推理,到达即执行,46942
260,2399,2400.3333333333335,RegionC,实时推理,到达即执行,9621
261,2399,2403.383333333333,RegionC,实时推理,到达即执行,39788
262,2376,2377.4666666666667,RegionD,AI训练,到达即执行,9415
263,2376,2382.233333333333,RegionD,批量推理,到达即执行,7403
264,2377,2381.483333333333,RegionD,AI训练,到达即执行,14780
265,2377,2379.1833333333334,RegionD,AI训练,到达即执行,23479
266,2377,2378.9,RegionD,AI训练,到达即执行,31710
267,2378,2381.1833333333334,RegionD,AI训练,到达即执行,9591
268,2378,2379.7,RegionD,AI训练,到达即执行,17864
269,2378,2379.1833333333334,RegionD,批量推理,到达即执行,27016
270,2379,2385.4333333333334,RegionD,AI训练,到达即执行,14419
271,2379,2380.2833333333333,RegionD,AI训练,到达即执行,31539
272,2379,2384.8166666666666,RegionD,AI训练,到达即执行,31788
273,2379,2379.3333333333335,RegionD,AI训练,到达即执行,39010
274,2379,2383.5833333333335,RegionD,批量推理,到达即执行,37078
275,2379,2383.85,RegionD,实时推理,到达即执行,30238
276,2380,2381.55,RegionD,AI训练,到达即执行,30207
277,2380,2381.2166666666667,RegionD,AI训练,到达即执行,43380
278,2380,2385.3333333333335,RegionD,批量推理,到达即执行,47613
279,2381,2387.5333333333333,RegionD,AI训练,到达即执行,13587
280,2381,2384.4166666666665,RegionD,AI训练,到达即执行,20139
281,2381,2386.016666666667,RegionD,AI训练,到达即执行,31480
282,2382,2383.516666666667,RegionD,AI训练,到达即执行,5845
283,2382,2384.5833333333335,RegionD,AI训练,到达即执行,31191
284,2382,2384.116666666667,RegionD,批量推理,到达即执行,403
285,2382,2384.866666666667,RegionD,批量推理,到达即执行,36934
286,2382,2382.6833333333334,RegionD,实时推理,到达即执行,7542
287,2383,2384.1666666666665,RegionD,AI训练,到达即执行,11304
288,2383,2384.4,RegionD,批量推理,到达即执行,24641
289,2383,2385.366666666667,RegionD,批量推理,到达即执行,37918
290,2384,2388.5333333333333,RegionD,AI训练,到达即执行,10306
291,2384,2387.766666666667,RegionD,批量推理,到达即执行,37688
292,2385,2387.1666666666665,RegionD,AI训练,到达即执行,4599
293,2385,2388.116666666667,RegionD,AI训练,到达即执行,28123
294,2385,2387.7833333333333,RegionD,批量推理,到达即执行,31955
295,2385,2389.9666666666667,RegionD,批量推理,到达即执行,34369
296,2386,2388.6666666666665,RegionD,AI训练,到达即执行,2055
297,2386,2390.4333333333334,RegionD,批量推理,到达即执行,18869
298,2386,2387.016666666667,RegionD,批量推理,到达即执行,24949
299,2386,2387.866666666667,RegionD,批量推理,到达即执行,33785
300,2386,2391.5833333333335,RegionD,批量推理,到达即执行,39597
301,2386,2389.3333333333335,RegionD,实时推理,到达即执行,19264
302,2387,2388.7,RegionD,AI训练,到达即执行,17181
303,2387,2389.4666666666667,RegionD,AI训练,到达即执行,31709
304,2387,2393.233333333333,RegionD,批量推理,到达即执行,3113
305,2388,2392.266666666667,RegionD,AI训练,到达即执行,21837
306,2388,2391.983333333333,RegionD,批量推理,到达即执行,20403
307,2388,2393.7166666666667,RegionD,批量推理,到达即执行,32420
308,2389,2391.3166666666666,RegionD,AI训练,到达即执行,5727
309,2389,2392.8333333333335,RegionD,AI训练,到达即执行,23936
310,2389,2389.1666666666665,RegionD,AI训练,到达即执行,47013
311,2390,2394.15,RegionD,AI训练,到达即执行,2167
312,2390,2393.8,RegionD,AI训练,到达即执行,17233
313,2390,2396.0666666666666,RegionD,AI训练,到达即执行,46424
314,2390,2393.8333333333335,RegionD,批量推理,到达即执行,4851
315,2390,2392.7833333333333,RegionD,批量推理,到达即执行,10184
316,2390,2395.233333333333,RegionD,批量推理,到达即执行,19682
317,2390,2393.1833333333334,RegionD,批量推理,到达即执行,47967
318,2391,2397.5,RegionD,AI训练,到达即执行,6876
319,2391,2397.4,RegionD,AI训练,到达即执行,13836
320,2391,2391.516666666667,RegionD,AI训练,到达即执行,27637
321,2391,2395.6666666666665,RegionD,实时推理,到达即执行,14305
322,2392,2392.8166666666666,RegionD,AI训练,到达即执行,8915
323,2392,2398.616666666667,RegionD,AI训练,到达即执行,17673
324,2392,2396.7166666666667,RegionD,批量推理,到达即执行,25631
325,2392,2396.116666666667,RegionD,批量推理,到达即执行,37668
326,2393,2393.4166666666665,RegionD,AI训练,到达即执行,41990
327,2393,2393.25,RegionD,批量推理,到达即执行,12184
328,2393,2394.133333333333,RegionD,批量推理,到达即执行,24477
329,2394,2396.383333333333,RegionD,AI训练,到达即执行,13376
330,2394,2397.9166666666665,RegionD,AI训练,到达即执行,15921
331,2394,2398.2166666666667,RegionD,AI训练,到达即执行,21451
332,2394,2398.35,RegionD,批量推理,到达即执行,11351
333,2394,2398.0,RegionD,批量推理,到达即执行,23381
334,2394,2399.4333333333334,RegionD,批量推理,到达即执行,45887
335,2395,2395.233333333333,RegionD,AI训练,到达即执行,32241
336,2395,2397.6833333333334,RegionD,批量推理,到达即执行,16494
337,2395,2399.1833333333334,RegionD,批量推理,到达即执行,45986
338,2395,2398.483333333333,RegionD,实时推理,到达即执行,47260
339,2396,2402.4166666666665,RegionD,AI训练,到达即执行,27964
340,2396,2396.7833333333333,RegionD,AI训练,到达即执行,36157
341,2396,2397.9166666666665,RegionD,AI训练,到达即执行,37857
342,2396,2399.85,RegionD,AI训练,到达即执行,48837
343,2396,2402.6,RegionD,批量推理,到达即执行,3736
344,2396,2400.133333333333,RegionD,批量推理,到达即执行,20312
345,2396,2397.05,RegionD,批量推理,到达即执行,24995
346,2396,2401.3166666666666,RegionD,批量推理,到达即执行,30715
347,2397,2399.2833333333333,RegionD,AI训练,到达即执行,38408
348,2397,2401.7833333333333,RegionD,批量推理,到达即执行,6392
349,2397,2397.9666666666667,RegionD,批量推理,到达即执行,27547
350,2397,2397.3166666666666,RegionD,批量推理,到达即执行,39629
351,2398,2404.0666666666666,RegionD,AI训练,到达即执行,9572
352,2398,2400.3333333333335,RegionD,AI训练,到达即执行,33770
353,2398,2402.7833333333333,RegionD,AI训练,到达即执行,37758
354,2398,2400.983333333333,RegionD,AI训练,到达即执行,46823
355,2398,2399.516666666667,RegionD,AI训练,到达即执行,48528
356,2398,2402.233333333333,RegionD,批量推理,到达即执行,4418
357,2398,2402.1,RegionD,实时推理,到达即执行,8972
358,2398,2398.1833333333334,RegionD,实时推理,到达即执行,22360
359,2376,2380.1,RegionE,AI训练,到达即执行,11961
360,2376,2376.4333333333334,RegionE,批量推理,到达即执行,7902
361,2376,2376.366666666667,RegionE,批量推理,到达即执行,9267
362,2376,2376.6666666666665,RegionE,批量推理,到达即执行,18201
363,2377,2381.6666666666665,RegionE,AI训练,到达即执行,4202
364,2377,2382.75,RegionE,AI训练,到达即执行,41348
365,2377,2381.2,RegionE,AI训练,到达即执行,41413
366,2377,2380.133333333333,RegionE,AI训练,到达即执行,43690
367,2377,2382.366666666667,RegionE,批量推理,到达即执行,25757
368,2377,2382.5333333333333,RegionE,批量推理,到达即执行,29785
369,2377,2382.766666666667,RegionE,批量推理,到达即执行,35013
370,2377,2378.516666666667,RegionE,批量推理,到达即执行,36594
371,2377,2378.016666666667,RegionE,实时推理,到达即执行,29589
372,2378,2378.3,RegionE,AI训练,到达即执行,16146
373,2378,2381.95,RegionE,AI训练,到达即执行,33418
374,2378,2378.4333333333334,RegionE,AI训练,到达即执行,39262
375,2378,2378.4666666666667,RegionE,AI训练,到达即执行,46688
376,2378,2378.55,RegionE,批量推理,到达即执行,33839
377,2378,2382.8,RegionE,批量推理,到达即执行,37236
378,2378,2378.4666666666667,RegionE,实时推理,到达即执行,235
379,2379,2380.116666666667,RegionE,AI训练,到达即执行,7973
380,2380,2382.3333333333335,RegionE,AI训练,到达即执行,45172
381,2380,2383.85,RegionE,批量推理,到达即执行,17466
382,2381,2386.983333333333,RegionE,AI训练,到达即执行,38738
383,2381,2386.8,RegionE,AI训练,到达即执行,46280
384,2381,2384.8166666666666,RegionE,批量推理,到达即执行,22871
385,2382,2384.0666666666666,RegionE,批量推理,到达即执行,19440
386,2382,2386.2833333333333,RegionE,实时推理,到达即执行,13505
387,2383,2386.05,RegionE,AI训练,到达即执行,12755
388,2383,2389.516666666667,RegionE,AI训练,到达即执行,22175
389,2383,2386.616666666667,RegionE,AI训练,到达即执行,34834
390,2383,2385.1833333333334,RegionE,批量推理,到达即执行,1664
391,2384,2385.05,RegionE,AI训练,到达即执行,46582
392,2384,2387.866666666667,RegionE,AI训练,到达即执行,49968
393,2384,2386.6,RegionE,批量推理,到达即执行,33478
394,2384,2390.5666666666666,RegionE,实时推理,到达即执行,11360
395,2384,2387.116666666667,RegionE,实时推理,到达即执行,24748
396,2385,2386.4666666666667,RegionE,AI训练,到达即执行,5277
397,2385,2387.25,RegionE,AI训练,到达即执行,22705
398,2386,2388.0833333333335,RegionE,AI训练,到达即执行,10275
399,2386,2388.866666666667,RegionE,AI训练,到达即执行,15694
400,2386,2388.7,RegionE,批量推理,到达即执行,43953
401,2387,2392.633333333333,RegionE,AI训练,到达即执行,9535
402,2387,2392.8166666666666,RegionE,AI训练,到达即执行,19584
403,2387,2390.9,RegionE,AI训练,到达即执行,30583
404,2387,2392.633333333333,RegionE,AI训练,到达即执行,32656
405,2387,2388.633333333333,RegionE,AI训练,到达即执行,36369
406,2387,2392.733333333333,RegionE,批量推理,到达即执行,9850
407,2387,2387.4166666666665,RegionE,批量推理,到达即执行,28165
408,2387,2387.6,RegionE,批量推理,到达即执行,29306
409,2387,2391.7833333333333,RegionE,批量推理,到达即执行,33589
410,2389,2392.15,RegionE,AI训练,到达即执行,14749
411,2389,2394.1,RegionE,AI训练,到达即执行,33779
412,2389,2394.516666666667,RegionE,批量推理,到达即执行,36902
413,2390,2395.766666666667,RegionE,AI训练,到达即执行,3782
414,2390,2394.5833333333335,RegionE,AI训练,到达即执行,8760
415,2390,2395.8333333333335,RegionE,AI训练,到达即执行,16513
416,2390,2391.7166666666667,RegionE,AI训练,到达即执行,25795
417,2390,2390.866666666667,RegionE,AI训练,到达即执行,26136
418,2390,2391.2833333333333,RegionE,AI训练,到达即执行,29364
419,2390,2393.0,RegionE,批量推理,到达即执行,57
420,2391,2396.866666666667,RegionE,AI训练,到达即执行,4930
421,2391,2393.65,RegionE,AI训练,到达即执行,17898
422,2391,2395.8333333333335,RegionE,AI训练,到达即执行,25763
423,2391,2394.3,RegionE,AI训练,到达即执行,30452
424,2391,2395.2,RegionE,批量推理,到达即执行,45731
425,2391,2392.45,RegionE,实时推理,到达即执行,18687
426,2392,2395.766666666667,RegionE,AI训练,到达即执行,19387
427,2392,2392.9,RegionE,批量推理,到达即执行,3566
428,2392,2393.9166666666665,RegionE,实时推理,到达即执行,23364
429,2394,2398.0,RegionE,AI训练,到达即执行,56
430,2394,2398.95,RegionE,AI训练,到达即执行,6438
431,2394,2400.366666666667,RegionE,AI训练,到达即执行,31076
432,2394,2398.5333333333333,RegionE,AI训练,到达即执行,39669
433,2394,2399.9166666666665,RegionE,批量推理,到达即执行,40831
434,2395,2397.95,RegionE,AI训练,到达即执行,5435
435,2395,2395.5666666666666,RegionE,AI训练,到达即执行,39773
436,2395,2396.9666666666667,RegionE,AI训练,到达即执行,46011
437,2395,2399.05,RegionE,AI训练,到达即执行,49640
438,2396,2402.25,RegionE,AI训练,到达即执行,14578
439,2396,2397.75,RegionE,AI训练,到达即执行,28753
440,2396,2399.6666666666665,RegionE,批量推理,到达即执行,43993
