Y_实时推理GPU需求_等效GPU,Y_批量推理GPU需求_等效GPU,Y_AI训练GPU需求_等效GPU
5,19.0,99.0
5,19.0,22.0
2,17.0,72.0
3,12.0,31.0
2,5.0,115.0
4,12.0,101.0
5,4.0,119.0
2,11.0,94.0
2,13.0,26.0
4,17.0,87.0
2,20.0,64.0
7,14.0,41.0
3,4.0,120.0
4,14.0,36.0
1,12.0,53.0
5,15.0,89.0
3,13.0,123.0
6,18.0,127.0
7,18.0,65.0
2,18.0,79.0
1,6.0,26.0
3,22.0,58.0
6,5.0,81.0
6,20.0,23.0
1,8.0,101.0
1,13.0,116.0
1,11.0,119.0
3,6.0,37.0
4,23.0,108.0
5,21.0,104.0
1,13.0,82.0
4,4.0,56.0
7,7.0,41.0
7,6.0,38.0
3,22.0,30.0
6,10.0,38.0
6,19.0,110.0
2,10.0,66.0
1,11.0,53.0
5,7.0,42.0
1,5.0,127.0
5,12.0,74.0
1,11.0,24.0
7,9.0,40.0
6,23.0,78.0
1,7.0,126.0
5,12.0,54.0
4,8.0,28.0
2,7.0,99.0
7,11.0,18.0
5,13.0,64.0
5,9.0,79.0
1,7.0,115.0
4,20.0,98.0
6,12.0,21.0
3,18.0,98.0
2,6.0,95.0
6,19.0,127.0
4,13.0,81.0
2,17.0,54.0
3,22.0,28.0
6,4.0,22.0
3,8.0,102.0
3,20.0,77.0
2,8.0,56.0
1,8.0,18.0
5,4.0,17.0
4,23.0,89.0
7,21.0,41.0
2,8.0,114.0
2,23.0,45.0
6,20.0,21.0
1,18.0,25.0
2,5.0,63.0
6,22.0,68.0
7,16.0,36.0
1,22.0,115.0
5,17.0,51.0
6,20.0,21.0
3,21.0,100.0
5,12.0,30.0
2,12.0,124.0
5,20.0,63.0
6,18.0,90.0
1,4.0,125.0
5,21.0,21.0
7,13.0,75.0
3,17.0,100.0
6,4.0,122.0
5,14.0,117.0
7,14.0,51.0
4,16.0,107.0
2,10.0,93.0
5,7.0,16.0
2,18.0,75.0
3,6.0,124.0
6,13.0,73.0
2,23.0,112.0
5,20.0,50.0
4,16.0,101.0
4,20.0,126.0
4,4.0,100.0
2,14.0,123.0
4,22.0,88.0
3,11.0,26.0
6,18.0,28.0
5,6.0,63.0
5,13.0,103.0
7,19.0,32.0
7,20.0,18.0
4,4.0,44.0
1,4.0,81.0
7,19.0,61.0
7,6.0,126.0
1,19.0,72.0
4,13.0,60.0
5,7.0,46.0
4,12.0,94.0
6,23.0,116.0
1,9.0,54.0
7,6.0,101.0
4,21.0,26.0
5,20.0,23.0
3,17.0,72.0
7,7.0,59.0
4,8.0,82.0
1,17.0,16.0
5,9.0,118.0
1,23.0,85.0
7,6.0,75.0
2,20.0,65.0
2,6.0,44.0
7,5.0,23.0
6,15.0,76.0
3,17.0,31.0
7,21.0,36.0
7,13.0,94.0
1,4.0,25.0
4,4.0,83.0
3,14.0,58.0
1,10.0,84.0
3,18.0,57.0
2,12.0,26.0
3,20.0,36.0
7,11.0,104.0
4,17.0,19.0
2,10.0,53.0
6,15.0,81.0
4,11.0,55.0
4,20.0,55.0
6,5.0,61.0
2,14.0,79.0
4,5.0,30.0
2,16.0,52.0
2,21.0,71.0
2,18.0,26.0
1,19.0,25.0
5,15.0,41.0
3,6.0,111.0
3,19.0,117.0
1,7.0,125.0
3,9.0,110.0
4,5.0,75.0
7,11.0,40.0
7,15.0,107.0
4,7.0,82.0
6,11.0,21.0
1,10.0,57.0
6,21.0,39.0
7,19.0,31.0
5,11.0,97.0
6,23.0,89.0
6,6.0,67.0
6,20.0,26.0
7,11.0,21.0
3,8.0,64.0
7,11.0,21.0
3,20.0,117.0
3,7.0,73.0
5,18.0,16.0
5,15.0,63.0
7,19.0,19.0
2,20.0,126.0
4,4.0,82.0
7,23.0,39.0
4,8.0,65.0
1,8.0,45.0
3,22.0,30.0
2,11.0,33.0
2,20.0,101.0
3,6.0,25.0
1,20.0,68.0
2,6.0,74.0
3,16.0,80.0
6,6.0,92.0
6,8.0,69.0
1,20.0,109.0
2,21.0,46.0
6,20.0,16.0
6,15.0,78.0
7,14.0,49.0
2,11.0,50.0
2,21.0,50.0
3,19.0,32.0
7,16.0,47.0
2,6.0,60.0
7,12.0,86.0
3,13.0,121.0
7,21.0,120.0
2,10.0,89.0
1,11.0,62.0
5,12.0,127.0
6,6.0,89.0
1,14.0,25.0
5,7.0,100.0
4,12.0,60.0
7,9.0,79.0
1,4.0,122.0
6,23.0,92.0
4,5.0,87.0
4,12.0,61.0
7,19.0,96.0
1,5.0,116.0
5,15.0,124.0
5,14.0,79.0
5,11.0,70.0
7,19.0,24.0
6,8.0,73.0
6,18.0,49.0
6,16.0,50.0
6,7.0,76.0
6,5.0,31.0
1,23.0,111.0
5,9.0,65.0
6,18.0,31.0
7,23.0,55.0
3,14.0,95.0
6,13.0,105.0
1,20.0,91.0
6,13.0,25.0
6,13.0,75.0
1,15.0,66.0
3,6.0,81.0
3,23.0,116.0
3,12.0,60.0
6,18.0,93.0
7,15.0,76.0
2,19.0,35.0
6,13.0,38.0
6,8.0,124.0
7,17.0,30.0
1,15.0,20.0
2,19.0,93.0
4,11.0,112.0
5,17.0,114.0
3,10.0,125.0
5,11.0,40.0
7,23.0,16.0
1,12.0,90.0
5,16.0,103.0
1,16.0,105.0
2,16.0,35.0
2,22.0,18.0
4,16.0,124.0
1,13.0,107.0
2,9.0,57.0
7,4.0,41.0
2,11.0,35.0
4,10.0,127.0
4,7.0,94.0
6,8.0,111.0
7,12.0,125.0
2,21.0,40.0
6,13.0,98.0
2,13.0,32.0
5,5.0,60.0
1,7.0,102.0
3,21.0,65.0
4,7.0,48.0
4,10.0,58.0
1,10.0,44.0
5,16.0,120.0
7,22.0,45.0
7,13.0,81.0
5,15.0,109.0
5,4.0,59.0
7,10.0,27.0
1,15.0,54.0
5,21.0,30.0
5,5.0,26.0
6,19.0,21.0
4,13.0,64.0
2,18.0,57.0
3,15.0,30.0
4,7.0,126.0
2,19.0,82.0
6,12.0,86.0
6,8.0,25.0
3,17.0,58.0
7,20.0,47.0
3,17.0,95.0
6,12.0,62.0
7,14.0,126.0
3,22.0,34.0
4,5.0,60.0
1,16.0,120.0
7,21.0,70.0
2,14.0,34.0
5,22.0,41.0
5,6.0,21.0
6,19.0,124.0
5,17.0,102.0
6,14.0,107.0
2,18.0,81.0
2,10.0,114.0
6,16.0,34.0
3,22.0,50.0
6,22.0,108.0
5,9.0,104.0
3,21.0,120.0
3,16.0,110.0
2,14.0,30.0
2,19.0,17.0
3,15.0,19.0
4,23.0,89.0
6,23.0,120.0
5,7.0,127.0
5,23.0,28.0
6,10.0,89.0
6,10.0,65.0
5,17.0,107.0
3,20.0,114.0
4,16.0,99.0
1,17.0,98.0
5,7.0,75.0
5,22.0,126.0
2,16.0,103.0
5,17.0,30.0
7,22.0,98.0
5,11.0,126.0
7,6.0,44.0
1,20.0,41.0
4,17.0,63.0
3,9.0,111.0
4,11.0,86.0
5,18.0,124.0
1,23.0,90.0
6,15.0,48.0
2,6.0,115.0
1,20.0,76.0
7,10.0,113.0
5,20.0,16.0
3,22.0,108.0
3,12.0,29.0
4,4.0,76.0
6,4.0,84.0
6,4.0,119.0
2,9.0,101.0
5,21.0,19.0
4,20.0,120.0
6,6.0,76.0
3,14.0,33.0
7,5.0,113.0
3,22.0,33.0
7,7.0,55.0
4,14.0,83.0
2,10.0,24.0
3,20.0,80.0
3,12.0,39.0
7,14.0,44.0
2,23.0,32.0
6,10.0,125.0
2,22.0,34.0
4,19.0,16.0
2,7.0,123.0
6,4.0,55.0
7,9.0,74.0
6,8.0,49.0
5,12.0,111.0
1,20.0,25.0
5,21.0,99.0
7,13.0,60.0
3,15.0,38.0
4,8.0,106.0
1,17.0,53.0
3,6.0,47.0
5,20.0,105.0
7,19.0,75.0
3,4.0,30.0
7,17.0,125.0
4,20.0,127.0
1,20.0,89.0
1,5.0,60.0
3,15.0,110.0
5,22.0,35.0
2,17.0,105.0
1,22.0,104.0
1,6.0,64.0
1,12.0,61.0
1,11.0,69.0
6,14.0,73.0
3,7.0,21.0
4,22.0,82.0
1,15.0,41.0
1,17.0,113.0
7,15.0,36.0
2,10.0,121.0
7,10.0,94.0
5,17.0,74.0
6,14.0,115.0
4,23.0,115.0
5,10.0,27.0
7,5.0,42.0
3,15.0,38.0
7,15.0,108.0
6,19.0,121.0
5,16.0,50.0
5,19.0,125.0
5,12.0,34.0
2,14.0,96.0
3,9.0,68.0
6,16.0,100.0
4,19.0,23.0
4,23.0,100.0
3,6.0,101.0
7,17.0,53.0
2,9.0,25.0
5,12.0,74.0
4,18.0,57.0
5,15.0,121.0
1,5.0,103.0
1,12.0,81.0
3,13.0,51.0
7,13.0,109.0
2,7.0,69.0
3,5.0,18.0
6,11.0,73.0
2,14.0,91.0
5,7.0,43.0
1,21.0,105.0
1,23.0,116.0
1,19.0,92.0
3,21.0,125.0
3,7.0,121.0
4,22.0,22.0
5,10.0,30.0
5,8.0,108.0
6,13.0,31.0
4,11.0,95.0
3,4.0,113.0
2,14.0,121.0
6,9.0,66.0
7,4.0,110.0
3,6.0,119.0
6,6.0,82.0
1,16.0,84.0
4,22.0,16.0
6,23.0,64.0
4,7.0,110.0
5,10.0,91.0
4,15.0,83.0
7,22.0,34.0
5,22.0,33.0
7,20.0,83.0
6,20.0,84.0
5,12.0,117.0
4,23.0,45.0
3,20.0,112.0
2,20.0,43.0
6,10.0,36.0
4,17.0,72.0
3,7.0,18.0
5,5.0,88.0
3,19.0,42.0
3,4.0,84.0
2,8.0,51.0
7,13.0,90.0
4,15.0,42.0
4,20.0,101.0
2,12.0,110.0
3,10.0,66.0
1,17.0,20.0
6,13.0,37.0
7,16.0,53.0
2,20.0,110.0
6,22.0,81.0
5,9.0,85.0
1,6.0,73.0
2,16.0,116.0
2,17.0,63.0
5,9.0,116.0
4,8.0,69.0
7,16.0,123.0
5,19.0,81.0
1,8.0,58.0
5,13.0,126.0
4,14.0,104.0
7,10.0,64.0
6,14.0,118.0
7,17.0,76.0
7,5.0,73.0
3,21.0,44.0
2,8.0,106.0
3,13.0,123.0
5,21.0,24.0
3,19.0,123.0
5,6.0,30.0
1,5.0,26.0
7,16.0,43.0
4,10.0,46.0
2,8.0,106.0
5,19.0,87.0
5,12.0,20.0
5,22.0,51.0
2,4.0,88.0
6,4.0,68.0
6,9.0,35.0
7,21.0,124.0
3,6.0,126.0
1,22.0,43.0
5,9.0,74.0
7,16.0,113.0
4,16.0,94.0
5,14.0,121.0
1,9.0,35.0
2,9.0,51.0
3,4.0,95.0
4,22.0,122.0
6,17.0,44.0
7,13.0,46.0
4,8.0,17.0
4,4.0,125.0
7,22.0,73.0
6,17.0,116.0
7,21.0,22.0
2,23.0,33.0
2,14.0,72.0
3,13.0,93.0
5,6.0,118.0
6,21.0,77.0
7,10.0,97.0
4,20.0,117.0
3,8.0,93.0
6,5.0,67.0
4,7.0,82.0
7,4.0,91.0
7,8.0,45.0
2,7.0,77.0
6,23.0,40.0
4,7.0,70.0
3,20.0,46.0
4,17.0,116.0
4,22.0,82.0
7,16.0,73.0
7,9.0,115.0
3,19.0,118.0
1,15.0,100.0
2,10.0,37.0
4,12.0,20.0
4,15.0,98.0
1,14.0,38.0
5,9.0,111.0
7,9.0,45.0
4,21.0,53.0
2,11.0,21.0
6,23.0,53.0
5,22.0,33.0
5,22.0,67.0
5,8.0,49.0
3,4.0,63.0
4,19.0,91.0
6,13.0,106.0
2,9.0,56.0
6,17.0,89.0
4,21.0,47.0
6,12.0,40.0
3,6.0,102.0
2,21.0,121.0
4,21.0,91.0
2,6.0,102.0
3,6.0,46.0
6,13.0,17.0
5,5.0,20.0
5,5.0,92.0
4,22.0,68.0
6,21.0,31.0
2,11.0,121.0
7,12.0,65.0
6,8.0,78.0
2,20.0,97.0
3,17.0,22.0
7,14.0,64.0
6,6.0,122.0
2,9.0,48.0
5,4.0,69.0
3,8.0,100.0
3,22.0,65.0
3,8.0,35.0
5,11.0,112.0
7,11.0,62.0
4,15.0,61.0
7,11.0,29.0
5,19.0,47.0
4,20.0,33.0
2,21.0,24.0
6,9.0,101.0
5,5.0,52.0
5,20.0,123.0
3,6.0,68.0
5,12.0,71.0
3,9.0,54.0
5,17.0,38.0
1,13.0,50.0
4,19.0,73.0
7,23.0,103.0
6,21.0,62.0
6,22.0,101.0
4,23.0,26.0
7,5.0,43.0
5,15.0,93.0
7,4.0,39.0
6,15.0,113.0
4,23.0,41.0
7,16.0,113.0
1,10.0,82.0
5,10.0,126.0
6,21.0,26.0
6,19.0,34.0
1,9.0,94.0
3,19.0,43.0
3,23.0,126.0
4,11.0,37.0
7,7.0,120.0
2,13.0,122.0
4,11.0,109.0
1,11.0,126.0
3,5.0,119.0
3,6.0,77.0
5,14.0,54.0
4,18.0,64.0
6,20.0,107.0
7,20.0,125.0
1,6.0,88.0
6,20.0,68.0
6,4.0,118.0
5,7.0,51.0
3,23.0,28.0
1,14.0,110.0
2,23.0,87.0
7,10.0,127.0
6,13.0,58.0
1,11.0,114.0
1,23.0,23.0
5,8.0,48.0
4,16.0,127.0
6,8.0,108.0
4,21.0,53.0
4,13.0,27.0
7,17.0,118.0
5,19.0,69.0
6,22.0,111.0
1,7.0,91.0
2,12.0,85.0
6,6.0,108.0
2,19.0,37.0
7,23.0,35.0
7,12.0,54.0
6,15.0,119.0
4,6.0,123.0
4,23.0,123.0
6,20.0,62.0
1,12.0,25.0
1,11.0,39.0
3,11.0,39.0
6,20.0,121.0
3,4.0,108.0
7,10.0,34.0
6,16.0,86.0
7,19.0,98.0
1,10.0,112.0
3,14.0,112.0
2,5.0,46.0
7,8.0,36.0
5,11.0,96.0
4,7.0,89.0
1,20.0,122.0
1,13.0,38.0
6,5.0,120.0
6,8.0,87.0
7,11.0,51.0
3,22.0,56.0
7,17.0,70.0
6,16.0,107.0
1,17.0,72.0
7,17.0,120.0
5,20.0,57.0
4,15.0,35.0
4,16.0,92.0
3,4.0,62.0
1,19.0,45.0
4,9.0,86.0
5,13.0,24.0
6,12.0,96.0
1,5.0,97.0
4,14.0,57.0
7,18.0,126.0
2,23.0,120.0
1,7.0,56.0
7,4.0,21.0
2,16.0,43.0
1,5.0,101.0
7,20.0,44.0
7,10.0,121.0
4,14.0,54.0
2,13.0,30.0
6,22.0,25.0
4,20.0,38.0
5,23.0,122.0
5,7.0,76.0
3,13.0,46.0
2,12.0,23.0
4,19.0,74.0
3,18.0,45.0
1,7.0,115.0
3,16.0,17.0
6,5.0,47.0
6,22.0,16.0
7,15.0,34.0
2,12.0,45.0
5,9.0,46.0
6,17.0,93.0
2,7.0,86.0
4,23.0,41.0
2,17.0,56.0
4,5.0,43.0
2,4.0,81.0
1,8.0,56.0
5,13.0,33.0
5,19.0,29.0
2,6.0,82.0
7,14.0,96.0
7,19.0,109.0
6,15.0,19.0
2,17.0,59.0
4,14.0,106.0
7,21.0,92.0
6,13.0,34.0
2,19.0,73.0
1,11.0,58.0
6,18.0,64.0
5,12.0,94.0
4,6.0,59.0
3,5.0,35.0
3,4.0,70.0
6,6.0,30.0
3,18.0,51.0
6,9.0,64.0
4,20.0,86.0
3,11.0,56.0
2,11.0,28.0
7,22.0,55.0
2,23.0,58.0
7,16.0,35.0
2,9.0,123.0
2,10.0,111.0
3,20.0,70.0
5,5.0,87.0
6,19.0,96.0
3,16.0,81.0
5,18.0,124.0
5,5.0,118.0
2,15.0,93.0
4,23.0,46.0
5,9.0,58.0
2,22.0,91.0
7,17.0,76.0
4,11.0,101.0
1,19.0,122.0
2,4.0,105.0
7,14.0,45.0
1,18.0,101.0
2,15.0,111.0
1,8.0,100.0
4,23.0,85.0
3,22.0,73.0
3,15.0,125.0
1,23.0,41.0
4,14.0,45.0
6,4.0,124.0
4,8.0,39.0
3,17.0,118.0
1,19.0,18.0
3,11.0,52.0
1,13.0,19.0
6,13.0,101.0
3,4.0,26.0
2,23.0,16.0
3,18.0,47.0
2,23.0,89.0
2,11.0,126.0
1,19.0,107.0
5,23.0,56.0
3,4.0,87.0
4,16.0,103.0
7,23.0,64.0
5,17.0,122.0
5,23.0,88.0
5,21.0,75.0
3,22.0,32.0
3,22.0,26.0
6,15.0,117.0
4,6.0,32.0
3,19.0,107.0
7,7.0,109.0
5,22.0,47.0
6,13.0,69.0
7,20.0,120.0
6,10.0,42.0
6,23.0,50.0
2,14.0,100.0
4,20.0,123.0
2,18.0,96.0
4,17.0,48.0
1,17.0,95.0
5,19.0,88.0
5,12.0,97.0
7,17.0,33.0
1,10.0,79.0
7,20.0,104.0
2,18.0,76.0
5,8.0,100.0
4,16.0,114.0
4,4.0,75.0
1,4.0,76.0
5,13.0,93.0
3,14.0,112.0
7,7.0,46.0
3,8.0,18.0
1,13.0,39.0
2,15.0,84.0
5,6.0,105.0
6,10.0,66.0
2,14.0,17.0
4,20.0,54.0
5,14.0,32.0
4,20.0,117.0
3,4.0,105.0
3,20.0,87.0
5,16.0,37.0
4,13.0,88.0
7,10.0,95.0
5,11.0,21.0
7,5.0,70.0
3,10.0,126.0
7,19.0,53.0
4,17.0,44.0
7,9.0,32.0
7,15.0,87.0
4,8.0,65.0
3,7.0,96.0
7,20.0,115.0
5,15.0,111.0
7,20.0,96.0
6,22.0,100.0
6,6.0,125.0
2,15.0,51.0
2,6.0,50.0
4,17.0,51.0
7,12.0,124.0
7,14.0,119.0
2,17.0,109.0
3,19.0,110.0
4,6.0,42.0
1,10.0,92.0
4,5.0,34.0
5,4.0,53.0
1,4.0,90.0
1,23.0,66.0
6,21.0,90.0
2,23.0,17.0
6,17.0,74.0
5,4.0,30.0
2,17.0,69.0
1,13.0,60.0
3,7.0,115.0
3,20.0,75.0
3,4.0,98.0
3,7.0,19.0
2,15.0,106.0
3,23.0,107.0
7,17.0,33.0
5,14.0,118.0
4,15.0,26.0
3,4.0,63.0
1,6.0,78.0
7,21.0,79.0
4,10.0,92.0
4,19.0,120.0
5,12.0,107.0
1,4.0,89.0
5,8.0,55.0
5,10.0,127.0
4,16.0,21.0
7,14.0,26.0
2,12.0,103.0
2,10.0,50.0
5,9.0,43.0
7,4.0,66.0
3,21.0,88.0
2,7.0,108.0
5,4.0,112.0
4,5.0,47.0
5,11.0,70.0
1,11.0,120.0
3,19.0,125.0
5,21.0,81.0
7,21.0,108.0
6,10.0,70.0
