TaskID,任务类型,源区域,目标区域,到达小时,开工小时,等待_h,时延_ms,是否迁移
1459,RealTimeInference,RegionB,RegionA,1097,1097,0.0,12.0,True
1464,RealTimeInference,RegionA,RegionA,374,374,0.0,5.0,False
1520,RealTimeInference,RegionC,RegionA,1034,1034,0.0,15.0,True
1545,RealTimeInference,RegionC,RegionB,1412,1412,0.0,14.0,True
1609,RealTimeInference,RegionB,RegionB,1572,1572,0.0,5.0,False
1615,RealTimeInference,RegionA,RegionB,2315,2315,0.0,12.0,True
1648,RealTimeInference,RegionB,RegionA,1685,1685,0.0,12.0,True
1668,RealTimeInference,RegionB,RegionA,2189,2189,0.0,12.0,True
1718,RealTimeInference,RegionA,RegionC,1572,1572,0.0,15.0,True
1737,RealTimeInference,RegionD,RegionD,1584,1584,0.0,5.0,False
1768,RealTimeInference,RegionC,RegionA,2033,2033,0.0,15.0,True
1781,RealTimeInference,RegionB,RegionB,2046,2046,0.0,5.0,False
1827,RealTimeInference,RegionB,RegionB,179,179,0.0,5.0,False
1828,RealTimeInference,RegionC,RegionA,2128,2128,0.0,15.0,True
1837,RealTimeInference,RegionA,RegionA,1194,1194,0.0,5.0,False
1842,RealTimeInference,RegionE,RegionE,830,830,0.0,5.0,False
1855,RealTimeInference,RegionD,RegionD,1342,1342,0.0,5.0,False
1867,RealTimeInference,RegionC,RegionA,497,497,0.0,15.0,True
1874,RealTimeInference,RegionC,RegionA,809,809,0.0,15.0,True
1879,RealTimeInference,RegionB,RegionA,688,688,0.0,12.0,True
1888,RealTimeInference,RegionE,RegionE,1006,1006,0.0,5.0,False
1892,RealTimeInference,RegionB,RegionA,359,359,0.0,12.0,True
1910,RealTimeInference,RegionA,RegionB,410,410,0.0,12.0,True
1959,RealTimeInference,RegionC,RegionB,2032,2032,0.0,14.0,True
1960,RealTimeInference,RegionD,RegionD,1356,1356,0.0,5.0,False
1973,RealTimeInference,RegionD,RegionD,1695,1695,0.0,5.0,False
1993,RealTimeInference,RegionE,RegionE,1356,1356,0.0,5.0,False
1999,RealTimeInference,RegionC,RegionA,203,203,0.0,15.0,True
2009,RealTimeInference,RegionB,RegionA,1939,1939,0.0,12.0,True
2020,RealTimeInference,RegionA,RegionA,1100,1100,0.0,5.0,False
2070,RealTimeInference,RegionC,RegionA,1383,1383,0.0,15.0,True
2083,RealTimeInference,RegionC,RegionB,2110,2110,0.0,14.0,True
2088,RealTimeInference,RegionB,RegionA,711,711,0.0,12.0,True
2090,RealTimeInference,RegionC,RegionA,1021,1021,0.0,15.0,True
2117,RealTimeInference,RegionC,RegionB,1033,1033,0.0,14.0,True
2153,RealTimeInference,RegionA,RegionA,2286,2286,0.0,5.0,False
2160,RealTimeInference,RegionB,RegionB,1455,1455,0.0,5.0,False
2191,RealTimeInference,RegionA,RegionA,154,154,0.0,5.0,False
2216,RealTimeInference,RegionE,RegionE,504,504,0.0,5.0,False
2237,RealTimeInference,RegionA,RegionB,818,818,0.0,12.0,True
2257,RealTimeInference,RegionA,RegionA,161,161,0.0,5.0,False
2286,RealTimeInference,RegionB,RegionA,2149,2149,0.0,12.0,True
2303,RealTimeInference,RegionA,RegionA,2076,2076,0.0,5.0,False
2337,RealTimeInference,RegionB,RegionA,494,494,0.0,12.0,True
2341,RealTimeInference,RegionA,RegionA,1697,1697,0.0,5.0,False
2346,RealTimeInference,RegionC,RegionA,2172,2172,0.0,15.0,True
2391,RealTimeInference,RegionB,RegionA,2298,2298,0.0,12.0,True
2400,RealTimeInference,RegionA,RegionA,1506,1506,0.0,5.0,False
2409,RealTimeInference,RegionB,RegionB,1755,1755,0.0,5.0,False
2502,RealTimeInference,RegionB,RegionA,2323,2323,0.0,12.0,True
2505,RealTimeInference,RegionA,RegionB,1190,1190,0.0,12.0,True
2539,RealTimeInference,RegionA,RegionA,2259,2259,0.0,5.0,False
2583,RealTimeInference,RegionD,RegionD,615,615,0.0,5.0,False
2593,RealTimeInference,RegionB,RegionB,998,998,0.0,5.0,False
2599,RealTimeInference,RegionA,RegionA,1057,1057,0.0,5.0,False
2619,RealTimeInference,RegionB,RegionA,394,394,0.0,12.0,True
2634,RealTimeInference,RegionC,RegionA,1042,1042,0.0,15.0,True
2654,RealTimeInference,RegionC,RegionA,1692,1692,0.0,15.0,True
2670,RealTimeInference,RegionA,RegionA,1593,1593,0.0,5.0,False
2732,RealTimeInference,RegionB,RegionA,2349,2349,0.0,12.0,True
2738,RealTimeInference,RegionB,RegionA,830,830,0.0,12.0,True
2751,RealTimeInference,RegionB,RegionA,2362,2362,0.0,12.0,True
2755,RealTimeInference,RegionA,RegionB,2058,2058,0.0,12.0,True
2794,RealTimeInference,RegionA,RegionA,882,882,0.0,5.0,False
2832,RealTimeInference,RegionC,RegionA,261,261,0.0,15.0,True
2889,RealTimeInference,RegionB,RegionB,2191,2191,0.0,5.0,False
2911,RealTimeInference,RegionD,RegionD,137,137,0.0,5.0,False
2923,RealTimeInference,RegionC,RegionA,1476,1476,0.0,15.0,True
2965,RealTimeInference,RegionA,RegionA,1491,1491,0.0,5.0,False
2986,RealTimeInference,RegionA,RegionA,290,290,0.0,5.0,False
3026,RealTimeInference,RegionB,RegionA,141,141,0.0,12.0,True
3041,RealTimeInference,RegionC,RegionA,1049,1049,0.0,15.0,True
3050,RealTimeInference,RegionA,RegionA,2360,2360,0.0,5.0,False
3052,RealTimeInference,RegionB,RegionA,1369,1369,0.0,12.0,True
3083,RealTimeInference,RegionA,RegionA,992,992,0.0,5.0,False
3116,RealTimeInference,RegionA,RegionA,246,246,0.0,5.0,False
3126,RealTimeInference,RegionC,RegionA,1559,1559,0.0,15.0,True
3156,RealTimeInference,RegionA,RegionA,846,846,0.0,5.0,False
3163,RealTimeInference,RegionA,RegionB,2313,2313,0.0,12.0,True
3165,RealTimeInference,RegionB,RegionA,2282,2282,0.0,12.0,True
3179,RealTimeInference,RegionC,RegionA,106,106,0.0,15.0,True
3189,RealTimeInference,RegionA,RegionA,1673,1673,0.0,5.0,False
3190,RealTimeInference,RegionB,RegionA,1105,1105,0.0,12.0,True
3220,RealTimeInference,RegionA,RegionB,2050,2050,0.0,12.0,True
3221,RealTimeInference,RegionA,RegionA,736,736,0.0,5.0,False
3248,RealTimeInference,RegionA,RegionA,538,538,0.0,5.0,False
3334,RealTimeInference,RegionB,RegionA,1148,1148,0.0,12.0,True
3343,RealTimeInference,RegionC,RegionC,2035,2035,0.0,5.0,False
3359,RealTimeInference,RegionA,RegionA,149,149,0.0,5.0,False
3366,RealTimeInference,RegionA,RegionA,422,422,0.0,5.0,False
3397,RealTimeInference,RegionF,RegionE,2185,2185,0.0,18.0,True
3404,RealTimeInference,RegionA,RegionA,588,588,0.0,5.0,False
3410,RealTimeInference,RegionF,RegionE,1946,1946,0.0,18.0,True
3415,RealTimeInference,RegionC,RegionB,2080,2080,0.0,14.0,True
3444,RealTimeInference,RegionA,RegionA,2378,2378,0.0,5.0,False
3476,RealTimeInference,RegionA,RegionA,47,47,0.0,5.0,False
3500,RealTimeInference,RegionC,RegionB,2156,2156,0.0,14.0,True
3547,RealTimeInference,RegionC,RegionA,1082,1082,0.0,15.0,True
3574,RealTimeInference,RegionF,RegionE,48,48,0.0,18.0,True
3581,RealTimeInference,RegionA,RegionA,97,97,0.0,5.0,False
3609,RealTimeInference,RegionA,RegionB,142,142,0.0,12.0,True
3615,RealTimeInference,RegionA,RegionA,1599,1599,0.0,5.0,False
3635,RealTimeInference,RegionA,RegionA,2271,2271,0.0,5.0,False
3652,RealTimeInference,RegionC,RegionB,1383,1383,0.0,14.0,True
3657,RealTimeInference,RegionB,RegionA,2373,2373,0.0,12.0,True
3662,RealTimeInference,RegionB,RegionB,534,534,0.0,5.0,False
3690,RealTimeInference,RegionC,RegionB,365,365,0.0,14.0,True
3704,RealTimeInference,RegionC,RegionB,2284,2284,0.0,14.0,True
3707,RealTimeInference,RegionA,RegionA,1482,1482,0.0,5.0,False
3709,RealTimeInference,RegionB,RegionA,1901,1901,0.0,12.0,True
3740,RealTimeInference,RegionA,RegionA,1586,1586,0.0,5.0,False
3779,RealTimeInference,RegionA,RegionB,1965,1965,0.0,12.0,True
3781,RealTimeInference,RegionB,RegionB,1881,1881,0.0,5.0,False
3803,RealTimeInference,RegionC,RegionA,2288,2288,0.0,15.0,True
3860,RealTimeInference,RegionB,RegionA,974,974,0.0,12.0,True
3863,RealTimeInference,RegionA,RegionA,1805,1805,0.0,5.0,False
3898,RealTimeInference,RegionB,RegionA,2008,2008,0.0,12.0,True
3914,RealTimeInference,RegionC,RegionA,352,352,0.0,15.0,True
3983,RealTimeInference,RegionA,RegionA,1810,1810,0.0,5.0,False
4005,RealTimeInference,RegionC,RegionA,507,507,0.0,15.0,True
4010,RealTimeInference,RegionB,RegionA,1136,1136,0.0,12.0,True
4036,RealTimeInference,RegionB,RegionA,1343,1343,0.0,12.0,True
4044,RealTimeInference,RegionB,RegionB,1948,1948,0.0,5.0,False
4070,RealTimeInference,RegionB,RegionA,551,551,0.0,12.0,True
4112,RealTimeInference,RegionF,RegionE,1500,1500,0.0,18.0,True
4120,RealTimeInference,RegionA,RegionA,961,961,0.0,5.0,False
4131,RealTimeInference,RegionC,RegionA,1923,1923,0.0,15.0,True
4137,RealTimeInference,RegionC,RegionA,843,843,0.0,15.0,True
4140,RealTimeInference,RegionA,RegionA,1226,1226,0.0,5.0,False
4148,RealTimeInference,RegionB,RegionB,376,376,0.0,5.0,False
4154,RealTimeInference,RegionB,RegionA,1422,1422,0.0,12.0,True
4181,RealTimeInference,RegionB,RegionA,614,614,0.0,12.0,True
4182,RealTimeInference,RegionC,RegionA,113,113,0.0,15.0,True
4255,RealTimeInference,RegionC,RegionA,1251,1251,0.0,15.0,True
4272,RealTimeInference,RegionB,RegionA,1894,1894,0.0,12.0,True
4297,RealTimeInference,RegionA,RegionA,1514,1514,0.0,5.0,False
4309,RealTimeInference,RegionA,RegionA,1928,1928,0.0,5.0,False
4335,RealTimeInference,RegionF,RegionE,773,773,0.0,18.0,True
4373,RealTimeInference,RegionC,RegionA,1158,1158,0.0,15.0,True
4381,RealTimeInference,RegionA,RegionA,667,667,0.0,5.0,False
4403,RealTimeInference,RegionB,RegionA,1190,1190,0.0,12.0,True
4422,RealTimeInference,RegionA,RegionB,746,746,0.0,12.0,True
4424,RealTimeInference,RegionB,RegionA,1704,1704,0.0,12.0,True
4458,RealTimeInference,RegionC,RegionA,1841,1841,0.0,15.0,True
4506,RealTimeInference,RegionA,RegionB,260,260,0.0,12.0,True
4514,RealTimeInference,RegionA,RegionA,2111,2111,0.0,5.0,False
4532,RealTimeInference,RegionA,RegionB,1004,1004,0.0,12.0,True
4546,RealTimeInference,RegionA,RegionA,40,40,0.0,5.0,False
4567,RealTimeInference,RegionB,RegionA,1235,1235,0.0,12.0,True
4602,RealTimeInference,RegionC,RegionA,1743,1743,0.0,15.0,True
4604,RealTimeInference,RegionA,RegionA,254,254,0.0,5.0,False
4615,RealTimeInference,RegionC,RegionA,591,591,0.0,15.0,True
4625,RealTimeInference,RegionA,RegionB,495,495,0.0,12.0,True
4637,RealTimeInference,RegionA,RegionA,2002,2002,0.0,5.0,False
4649,RealTimeInference,RegionC,RegionA,1332,1332,0.0,15.0,True
4650,RealTimeInference,RegionA,RegionB,1677,1677,0.0,12.0,True
4668,RealTimeInference,RegionC,RegionA,77,77,0.0,15.0,True
4683,RealTimeInference,RegionA,RegionA,1046,1046,0.0,5.0,False
4705,RealTimeInference,RegionB,RegionB,1102,1102,0.0,5.0,False
4711,RealTimeInference,RegionA,RegionC,2049,2049,0.0,15.0,True
4731,RealTimeInference,RegionB,RegionA,2279,2279,0.0,12.0,True
4744,RealTimeInference,RegionA,RegionB,39,39,0.0,12.0,True
4821,RealTimeInference,RegionA,RegionB,253,253,0.0,12.0,True
4830,RealTimeInference,RegionB,RegionB,43,43,0.0,5.0,False
4870,RealTimeInference,RegionB,RegionA,429,429,0.0,12.0,True
4880,RealTimeInference,RegionA,RegionA,27,27,0.0,5.0,False
4932,RealTimeInference,RegionA,RegionA,899,899,0.0,5.0,False
5115,RealTimeInference,RegionD,RegionD,875,875,0.0,5.0,False
5158,RealTimeInference,RegionB,RegionA,938,938,0.0,12.0,True
5179,RealTimeInference,RegionC,RegionA,1736,1736,0.0,15.0,True
5191,RealTimeInference,RegionB,RegionA,1562,1562,0.0,12.0,True
5203,RealTimeInference,RegionA,RegionB,633,633,0.0,12.0,True
5204,RealTimeInference,RegionB,RegionA,17,17,0.0,12.0,True
5205,RealTimeInference,RegionB,RegionA,2050,2050,0.0,12.0,True
5232,RealTimeInference,RegionC,RegionA,1574,1574,0.0,15.0,True
5260,RealTimeInference,RegionA,RegionA,1845,1845,0.0,5.0,False
5264,RealTimeInference,RegionB,RegionB,1062,1062,0.0,5.0,False
5270,RealTimeInference,RegionB,RegionA,1133,1133,0.0,12.0,True
5301,RealTimeInference,RegionA,RegionA,1319,1319,0.0,5.0,False
5305,RealTimeInference,RegionC,RegionA,1984,1984,0.0,15.0,True
5339,RealTimeInference,RegionA,RegionB,1061,1061,0.0,12.0,True
5351,RealTimeInference,RegionC,RegionB,1589,1589,0.0,14.0,True
5386,RealTimeInference,RegionA,RegionA,1324,1324,0.0,5.0,False
5407,RealTimeInference,RegionB,RegionC,139,139,0.0,14.0,True
5408,RealTimeInference,RegionB,RegionA,986,986,0.0,12.0,True
5430,RealTimeInference,RegionD,RegionD,1660,1660,0.0,5.0,False
5452,RealTimeInference,RegionA,RegionB,2127,2127,0.0,12.0,True
5487,RealTimeInference,RegionB,RegionA,2176,2176,0.0,12.0,True
5530,RealTimeInference,RegionA,RegionA,676,676,0.0,5.0,False
5562,RealTimeInference,RegionA,RegionA,2329,2329,0.0,5.0,False
5567,RealTimeInference,RegionC,RegionC,1457,1457,0.0,5.0,False
5605,RealTimeInference,RegionB,RegionA,449,449,0.0,12.0,True
5610,RealTimeInference,RegionB,RegionA,1401,1401,0.0,12.0,True
5713,RealTimeInference,RegionA,RegionC,2189,2189,0.0,15.0,True
5714,RealTimeInference,RegionA,RegionA,5,5,0.0,5.0,False
5731,RealTimeInference,RegionC,RegionB,1811,1811,0.0,14.0,True
5741,RealTimeInference,RegionA,RegionA,773,773,0.0,5.0,False
5748,RealTimeInference,RegionB,RegionB,587,587,0.0,5.0,False
5752,RealTimeInference,RegionA,RegionA,2157,2157,0.0,5.0,False
5810,RealTimeInference,RegionC,RegionB,370,370,0.0,14.0,True
5828,RealTimeInference,RegionB,RegionA,1481,1481,0.0,12.0,True
5836,RealTimeInference,RegionC,RegionB,2258,2258,0.0,14.0,True
5840,RealTimeInference,RegionB,RegionC,586,586,0.0,14.0,True
5865,RealTimeInference,RegionA,RegionA,1623,1623,0.0,5.0,False
5876,RealTimeInference,RegionD,RegionD,2290,2290,0.0,5.0,False
5884,RealTimeInference,RegionA,RegionB,1105,1105,0.0,12.0,True
5910,RealTimeInference,RegionA,RegionC,2056,2056,0.0,15.0,True
5911,RealTimeInference,RegionA,RegionB,97,97,0.0,12.0,True
5926,RealTimeInference,RegionB,RegionB,1587,1587,0.0,5.0,False
5929,RealTimeInference,RegionF,RegionE,2322,2322,0.0,18.0,True
5932,RealTimeInference,RegionB,RegionA,1267,1267,0.0,12.0,True
5936,RealTimeInference,RegionA,RegionA,1210,1210,0.0,5.0,False
5959,RealTimeInference,RegionB,RegionC,633,633,0.0,14.0,True
5976,RealTimeInference,RegionA,RegionC,1950,1950,0.0,15.0,True
5987,RealTimeInference,RegionC,RegionA,93,93,0.0,15.0,True
5991,RealTimeInference,RegionB,RegionA,580,580,0.0,12.0,True
5996,RealTimeInference,RegionA,RegionC,1062,1062,0.0,15.0,True
5997,RealTimeInference,RegionB,RegionA,220,220,0.0,12.0,True
6000,RealTimeInference,RegionC,RegionC,813,813,0.0,5.0,False
6011,RealTimeInference,RegionB,RegionA,616,616,0.0,12.0,True
6046,RealTimeInference,RegionC,RegionA,425,425,0.0,15.0,True
6112,RealTimeInference,RegionC,RegionA,2024,2024,0.0,15.0,True
6118,RealTimeInference,RegionC,RegionA,1719,1719,0.0,15.0,True
6162,RealTimeInference,RegionB,RegionA,2094,2094,0.0,12.0,True
6170,RealTimeInference,RegionC,RegionB,881,881,0.0,14.0,True
6180,RealTimeInference,RegionA,RegionA,1579,1579,0.0,5.0,False
6203,RealTimeInference,RegionC,RegionC,1381,1381,0.0,5.0,False
6210,RealTimeInference,RegionC,RegionB,2279,2279,0.0,14.0,True
6218,RealTimeInference,RegionA,RegionC,42,42,0.0,15.0,True
6247,RealTimeInference,RegionB,RegionB,843,843,0.0,5.0,False
6304,RealTimeInference,RegionA,RegionB,833,833,0.0,12.0,True
6308,RealTimeInference,RegionC,RegionA,758,758,0.0,15.0,True
6332,RealTimeInference,RegionB,RegionA,1247,1247,0.0,12.0,True
6362,RealTimeInference,RegionA,RegionA,168,168,0.0,5.0,False
6398,RealTimeInference,RegionB,RegionA,1070,1070,0.0,12.0,True
6423,RealTimeInference,RegionA,RegionB,2377,2377,0.0,12.0,True
6427,RealTimeInference,RegionD,RegionD,1608,1608,0.0,5.0,False
6428,RealTimeInference,RegionA,RegionA,1650,1650,0.0,5.0,False
6437,RealTimeInference,RegionB,RegionC,497,497,0.0,14.0,True
6450,RealTimeInference,RegionB,RegionA,626,626,0.0,12.0,True
6510,RealTimeInference,RegionB,RegionB,184,184,0.0,5.0,False
6520,RealTimeInference,RegionA,RegionB,1025,1025,0.0,12.0,True
6525,RealTimeInference,RegionC,RegionA,1315,1315,0.0,15.0,True
6533,RealTimeInference,RegionA,RegionA,824,824,0.0,5.0,False
6550,RealTimeInference,RegionC,RegionA,275,275,0.0,15.0,True
6563,RealTimeInference,RegionC,RegionA,646,646,0.0,15.0,True
6576,RealTimeInference,RegionB,RegionC,570,570,0.0,14.0,True
6586,RealTimeInference,RegionA,RegionA,1108,1108,0.0,5.0,False
6598,RealTimeInference,RegionF,RegionE,1585,1585,0.0,18.0,True
6639,RealTimeInference,RegionA,RegionB,502,502,0.0,12.0,True
6641,RealTimeInference,RegionB,RegionB,962,962,0.0,5.0,False
6690,RealTimeInference,RegionA,RegionA,1469,1469,0.0,5.0,False
6693,RealTimeInference,RegionB,RegionC,2373,2373,0.0,14.0,True
6730,RealTimeInference,RegionA,RegionC,1191,1191,0.0,15.0,True
6740,RealTimeInference,RegionB,RegionA,919,919,0.0,12.0,True
6765,RealTimeInference,RegionB,RegionA,2202,2202,0.0,12.0,True
6790,RealTimeInference,RegionA,RegionA,1201,1201,0.0,5.0,False
6834,RealTimeInference,RegionE,RegionE,27,27,0.0,5.0,False
6844,RealTimeInference,RegionB,RegionA,560,560,0.0,12.0,True
6856,RealTimeInference,RegionA,RegionB,2135,2135,0.0,12.0,True
6864,RealTimeInference,RegionB,RegionB,1984,1984,0.0,5.0,False
6870,RealTimeInference,RegionB,RegionB,2009,2009,0.0,5.0,False
6907,RealTimeInference,RegionA,RegionC,1099,1099,0.0,15.0,True
6986,RealTimeInference,RegionA,RegionB,149,149,0.0,12.0,True
6989,RealTimeInference,RegionB,RegionA,1098,1098,0.0,12.0,True
7012,RealTimeInference,RegionA,RegionA,1783,1783,0.0,5.0,False
7024,RealTimeInference,RegionE,RegionE,2147,2147,0.0,5.0,False
7038,RealTimeInference,RegionA,RegionC,1412,1412,0.0,15.0,True
7057,RealTimeInference,RegionE,RegionE,374,374,0.0,5.0,False
7062,RealTimeInference,RegionC,RegionB,561,561,0.0,14.0,True
7067,RealTimeInference,RegionB,RegionB,2294,2294,0.0,5.0,False
7136,RealTimeInference,RegionA,RegionA,1398,1398,0.0,5.0,False
7143,RealTimeInference,RegionA,RegionA,1300,1300,0.0,5.0,False
7146,RealTimeInference,RegionB,RegionA,1534,1534,0.0,12.0,True
7158,RealTimeInference,RegionB,RegionB,1208,1208,0.0,5.0,False
7210,RealTimeInference,RegionA,RegionB,2326,2326,0.0,12.0,True
7213,RealTimeInference,RegionC,RegionC,370,370,0.0,5.0,False
7221,RealTimeInference,RegionE,RegionE,756,756,0.0,5.0,False
7222,RealTimeInference,RegionA,RegionC,832,832,0.0,15.0,True
7225,RealTimeInference,RegionB,RegionB,2274,2274,0.0,5.0,False
7249,RealTimeInference,RegionA,RegionB,2047,2047,0.0,12.0,True
7262,RealTimeInference,RegionA,RegionB,1904,1904,0.0,12.0,True
7263,RealTimeInference,RegionB,RegionA,1418,1418,0.0,12.0,True
7347,RealTimeInference,RegionA,RegionC,261,261,0.0,15.0,True
7371,RealTimeInference,RegionC,RegionA,638,638,0.0,15.0,True
7457,RealTimeInference,RegionE,RegionE,995,995,0.0,5.0,False
7479,RealTimeInference,RegionA,RegionB,1197,1197,0.0,12.0,True
7496,RealTimeInference,RegionC,RegionC,1982,1982,0.0,5.0,False
7521,RealTimeInference,RegionC,RegionA,1868,1868,0.0,15.0,True
7527,RealTimeInference,RegionB,RegionA,2140,2140,0.0,12.0,True
7535,RealTimeInference,RegionC,RegionB,1959,1959,0.0,14.0,True
7537,RealTimeInference,RegionA,RegionB,1949,1949,0.0,12.0,True
7542,RealTimeInference,RegionD,RegionD,2382,2382,0.0,5.0,False
7609,RealTimeInference,RegionA,RegionA,1597,1597,0.0,5.0,False
7667,RealTimeInference,RegionE,RegionE,1644,1644,0.0,5.0,False
7691,RealTimeInference,RegionB,RegionC,1455,1455,0.0,14.0,True
7692,RealTimeInference,RegionC,RegionC,562,562,0.0,5.0,False
7704,RealTimeInference,RegionB,RegionB,667,667,0.0,5.0,False
7725,RealTimeInference,RegionC,RegionA,726,726,0.0,15.0,True
7744,RealTimeInference,RegionC,RegionB,105,105,0.0,14.0,True
7754,RealTimeInference,RegionA,RegionB,1719,1719,0.0,12.0,True
7755,RealTimeInference,RegionB,RegionA,460,460,0.0,12.0,True
7787,RealTimeInference,RegionA,RegionA,585,585,0.0,5.0,False
7811,RealTimeInference,RegionD,RegionD,930,930,0.0,5.0,False
7818,RealTimeInference,RegionF,RegionE,2067,2067,0.0,18.0,True
7847,RealTimeInference,RegionB,RegionA,1680,1680,0.0,12.0,True
7853,RealTimeInference,RegionA,RegionA,1435,1435,0.0,5.0,False
7875,RealTimeInference,RegionC,RegionA,1995,1995,0.0,15.0,True
7878,RealTimeInference,RegionA,RegionB,1485,1485,0.0,12.0,True
7879,RealTimeInference,RegionA,RegionB,2025,2025,0.0,12.0,True
7894,RealTimeInference,RegionB,RegionB,1998,1998,0.0,5.0,False
7922,RealTimeInference,RegionC,RegionA,857,857,0.0,15.0,True
7942,RealTimeInference,RegionC,RegionC,777,777,0.0,5.0,False
7957,RealTimeInference,RegionA,RegionB,1326,1326,0.0,12.0,True
7959,RealTimeInference,RegionB,RegionA,1007,1007,0.0,12.0,True
7962,RealTimeInference,RegionE,RegionE,2025,2025,0.0,5.0,False
7966,RealTimeInference,RegionB,RegionB,50,50,0.0,5.0,False
7979,RealTimeInference,RegionB,RegionB,1311,1311,0.0,5.0,False
7996,RealTimeInference,RegionA,RegionC,2293,2293,0.0,15.0,True
8001,RealTimeInference,RegionC,RegionB,1451,1451,0.0,14.0,True
8015,RealTimeInference,RegionA,RegionB,216,216,0.0,12.0,True
8078,RealTimeInference,RegionB,RegionA,980,980,0.0,12.0,True
